100 instancias de tamaño n = 100 y k = 20 
Tiempo minimo: 0.108883, Tiempo promedio: 0.110102
Tiempo minimo: 0.108858, Tiempo promedio: 0.110164
Tiempo minimo: 0.108794, Tiempo promedio: 0.112454
Tiempo minimo: 0.108714, Tiempo promedio: 0.110109
Tiempo minimo: 0.108612, Tiempo promedio: 0.109429
Tiempo minimo: 0.108706, Tiempo promedio: 0.109640
Tiempo minimo: 0.108692, Tiempo promedio: 0.109473
Tiempo minimo: 0.108439, Tiempo promedio: 0.109387
Tiempo minimo: 0.108629, Tiempo promedio: 0.109397
Tiempo minimo: 0.109077, Tiempo promedio: 0.109668
Tiempo minimo: 0.108760, Tiempo promedio: 0.109541
Tiempo minimo: 0.108816, Tiempo promedio: 0.109529
Tiempo minimo: 0.108770, Tiempo promedio: 0.109347
Tiempo minimo: 0.108520, Tiempo promedio: 0.109386
Tiempo minimo: 0.108416, Tiempo promedio: 0.109082
Tiempo minimo: 0.108623, Tiempo promedio: 0.110910
Tiempo minimo: 0.109526, Tiempo promedio: 0.110505
Tiempo minimo: 0.109506, Tiempo promedio: 0.110428
Tiempo minimo: 0.109547, Tiempo promedio: 0.110495
Tiempo minimo: 0.108981, Tiempo promedio: 0.110117
Tiempo minimo: 0.108697, Tiempo promedio: 0.110434
Tiempo minimo: 0.108617, Tiempo promedio: 0.109356
Tiempo minimo: 0.108607, Tiempo promedio: 0.109373
Tiempo minimo: 0.108539, Tiempo promedio: 0.109203
Tiempo minimo: 0.108621, Tiempo promedio: 0.109339
Tiempo minimo: 0.108214, Tiempo promedio: 0.108929
Tiempo minimo: 0.108671, Tiempo promedio: 0.109349
Tiempo minimo: 0.108724, Tiempo promedio: 0.109676
Tiempo minimo: 0.108353, Tiempo promedio: 0.109254
Tiempo minimo: 0.108439, Tiempo promedio: 0.109382
Tiempo minimo: 0.108823, Tiempo promedio: 0.109713
Tiempo minimo: 0.108493, Tiempo promedio: 0.109221
Tiempo minimo: 0.108618, Tiempo promedio: 0.109389
Tiempo minimo: 0.108454, Tiempo promedio: 0.109252
Tiempo minimo: 0.108631, Tiempo promedio: 0.109621
Tiempo minimo: 0.108219, Tiempo promedio: 0.109027
Tiempo minimo: 0.108714, Tiempo promedio: 0.109516
Tiempo minimo: 0.108952, Tiempo promedio: 0.109725
Tiempo minimo: 0.108834, Tiempo promedio: 0.109789
Tiempo minimo: 0.108762, Tiempo promedio: 0.109556
Tiempo minimo: 0.108503, Tiempo promedio: 0.109290
Tiempo minimo: 0.108659, Tiempo promedio: 0.109476
Tiempo minimo: 0.108679, Tiempo promedio: 0.109640
Tiempo minimo: 0.108738, Tiempo promedio: 0.109715
Tiempo minimo: 0.108389, Tiempo promedio: 0.109317
Tiempo minimo: 0.108804, Tiempo promedio: 0.109641
Tiempo minimo: 0.108714, Tiempo promedio: 0.109665
Tiempo minimo: 0.108749, Tiempo promedio: 0.109509
Tiempo minimo: 0.108276, Tiempo promedio: 0.109290
Tiempo minimo: 0.108504, Tiempo promedio: 0.109280
Tiempo minimo: 0.108551, Tiempo promedio: 0.109546
Tiempo minimo: 0.108469, Tiempo promedio: 0.109504
Tiempo minimo: 0.108442, Tiempo promedio: 0.109436
Tiempo minimo: 0.108486, Tiempo promedio: 0.109471
Tiempo minimo: 0.108405, Tiempo promedio: 0.109190
Tiempo minimo: 0.108709, Tiempo promedio: 0.109657
Tiempo minimo: 0.108777, Tiempo promedio: 0.109601
Tiempo minimo: 0.108291, Tiempo promedio: 0.109164
Tiempo minimo: 0.108647, Tiempo promedio: 0.109618
Tiempo minimo: 0.108516, Tiempo promedio: 0.109392
Tiempo minimo: 0.108224, Tiempo promedio: 0.109199
Tiempo minimo: 0.108556, Tiempo promedio: 0.109383
Tiempo minimo: 0.108696, Tiempo promedio: 0.109612
Tiempo minimo: 0.108896, Tiempo promedio: 0.109638
Tiempo minimo: 0.108321, Tiempo promedio: 0.109082
Tiempo minimo: 0.108761, Tiempo promedio: 0.109458
Tiempo minimo: 0.108692, Tiempo promedio: 0.109603
Tiempo minimo: 0.108436, Tiempo promedio: 0.109183
Tiempo minimo: 0.108656, Tiempo promedio: 0.109407
Tiempo minimo: 0.108477, Tiempo promedio: 0.109241
Tiempo minimo: 0.108870, Tiempo promedio: 0.109617
Tiempo minimo: 0.108545, Tiempo promedio: 0.109985
Tiempo minimo: 0.109271, Tiempo promedio: 0.109888
Tiempo minimo: 0.108534, Tiempo promedio: 0.109346
Tiempo minimo: 0.108952, Tiempo promedio: 0.109835
Tiempo minimo: 0.108501, Tiempo promedio: 0.109453
Tiempo minimo: 0.108567, Tiempo promedio: 0.109474
Tiempo minimo: 0.108548, Tiempo promedio: 0.109409
Tiempo minimo: 0.108854, Tiempo promedio: 0.109651
Tiempo minimo: 0.108134, Tiempo promedio: 0.108922
Tiempo minimo: 0.108498, Tiempo promedio: 0.109430
Tiempo minimo: 0.108778, Tiempo promedio: 0.109723
Tiempo minimo: 0.108776, Tiempo promedio: 0.109753
Tiempo minimo: 0.108813, Tiempo promedio: 0.109570
Tiempo minimo: 0.108735, Tiempo promedio: 0.109534
Tiempo minimo: 0.108478, Tiempo promedio: 0.109347
Tiempo minimo: 0.108368, Tiempo promedio: 0.109197
Tiempo minimo: 0.108765, Tiempo promedio: 0.109596
Tiempo minimo: 0.108734, Tiempo promedio: 0.109638
Tiempo minimo: 0.108864, Tiempo promedio: 0.109842
Tiempo minimo: 0.108934, Tiempo promedio: 0.109999
Tiempo minimo: 0.108325, Tiempo promedio: 0.109022
Tiempo minimo: 0.108688, Tiempo promedio: 0.109391
Tiempo minimo: 0.108717, Tiempo promedio: 0.109391
Tiempo minimo: 0.108899, Tiempo promedio: 0.109557
Tiempo minimo: 0.108648, Tiempo promedio: 0.109364
Tiempo minimo: 0.108443, Tiempo promedio: 0.109206
Tiempo minimo: 0.108448, Tiempo promedio: 0.109256
Tiempo minimo: 0.108568, Tiempo promedio: 0.109183
Tiempo minimo: 0.108413, Tiempo promedio: 0.109171
Promedio de tiempos minimos: 0.108655
