100 instancias de tamaño n = 900 y k = 10 
Tiempo minimo: 4.462871, Tiempo promedio: 4.481073
Tiempo minimo: 4.469442, Tiempo promedio: 4.483831
Tiempo minimo: 4.446831, Tiempo promedio: 4.467432
Tiempo minimo: 4.451261, Tiempo promedio: 4.471951
Tiempo minimo: 4.449926, Tiempo promedio: 4.467806
Tiempo minimo: 4.466670, Tiempo promedio: 4.484373
Tiempo minimo: 4.466457, Tiempo promedio: 4.491814
Tiempo minimo: 4.461250, Tiempo promedio: 4.481489
Tiempo minimo: 4.469924, Tiempo promedio: 4.483886
Tiempo minimo: 4.463958, Tiempo promedio: 4.484432
Tiempo minimo: 4.460373, Tiempo promedio: 4.479492
Tiempo minimo: 4.468521, Tiempo promedio: 4.480040
Tiempo minimo: 4.452784, Tiempo promedio: 4.469591
Tiempo minimo: 4.454394, Tiempo promedio: 4.470704
Tiempo minimo: 4.465245, Tiempo promedio: 4.485915
Tiempo minimo: 4.472613, Tiempo promedio: 4.497276
Tiempo minimo: 4.451728, Tiempo promedio: 4.472624
Tiempo minimo: 4.478949, Tiempo promedio: 4.504704
Tiempo minimo: 4.446538, Tiempo promedio: 4.468028
Tiempo minimo: 4.467480, Tiempo promedio: 4.494004
Tiempo minimo: 4.468913, Tiempo promedio: 4.493608
Tiempo minimo: 4.444013, Tiempo promedio: 4.460891
Tiempo minimo: 4.462376, Tiempo promedio: 4.476636
Tiempo minimo: 4.461828, Tiempo promedio: 4.490536
Tiempo minimo: 4.501439, Tiempo promedio: 4.512750
Tiempo minimo: 4.480824, Tiempo promedio: 4.498403
Tiempo minimo: 4.442595, Tiempo promedio: 4.480326
Tiempo minimo: 4.473442, Tiempo promedio: 4.493765
Tiempo minimo: 4.443357, Tiempo promedio: 4.472055
Tiempo minimo: 4.465494, Tiempo promedio: 4.480308
Tiempo minimo: 4.475161, Tiempo promedio: 4.498355
Tiempo minimo: 4.485210, Tiempo promedio: 4.507972
Tiempo minimo: 4.438366, Tiempo promedio: 4.459920
Tiempo minimo: 4.470536, Tiempo promedio: 4.490981
Tiempo minimo: 4.461444, Tiempo promedio: 4.480270
Tiempo minimo: 4.470538, Tiempo promedio: 4.496983
Tiempo minimo: 4.472971, Tiempo promedio: 4.501328
Tiempo minimo: 4.461036, Tiempo promedio: 4.479192
Tiempo minimo: 4.439450, Tiempo promedio: 4.453252
Tiempo minimo: 4.466943, Tiempo promedio: 4.487965
Tiempo minimo: 4.426928, Tiempo promedio: 4.440610
Tiempo minimo: 4.451751, Tiempo promedio: 4.465298
Tiempo minimo: 4.456862, Tiempo promedio: 4.473231
Tiempo minimo: 4.464834, Tiempo promedio: 4.477033
Tiempo minimo: 4.440766, Tiempo promedio: 4.454092
Tiempo minimo: 4.451100, Tiempo promedio: 4.469109
Tiempo minimo: 4.452426, Tiempo promedio: 4.468820
Tiempo minimo: 4.455077, Tiempo promedio: 4.468900
Tiempo minimo: 4.444537, Tiempo promedio: 4.464693
Tiempo minimo: 4.446473, Tiempo promedio: 4.463118
Tiempo minimo: 4.453385, Tiempo promedio: 4.464442
Tiempo minimo: 4.477574, Tiempo promedio: 4.493893
Tiempo minimo: 4.437084, Tiempo promedio: 4.455029
Tiempo minimo: 4.445849, Tiempo promedio: 4.462817
Tiempo minimo: 4.438783, Tiempo promedio: 4.453490
Tiempo minimo: 4.448465, Tiempo promedio: 4.462607
Tiempo minimo: 4.453615, Tiempo promedio: 4.464777
Tiempo minimo: 4.442365, Tiempo promedio: 4.453600
Tiempo minimo: 4.435762, Tiempo promedio: 4.454907
Tiempo minimo: 4.445435, Tiempo promedio: 4.459165
Tiempo minimo: 4.452758, Tiempo promedio: 4.465442
Tiempo minimo: 4.444174, Tiempo promedio: 4.528381
Tiempo minimo: 4.457221, Tiempo promedio: 4.469486
Tiempo minimo: 4.453943, Tiempo promedio: 4.460531
Tiempo minimo: 4.451573, Tiempo promedio: 4.460980
Tiempo minimo: 4.445985, Tiempo promedio: 4.455067
Tiempo minimo: 4.445143, Tiempo promedio: 4.460203
Tiempo minimo: 4.458644, Tiempo promedio: 4.466586
Tiempo minimo: 4.457167, Tiempo promedio: 4.461749
Tiempo minimo: 4.424118, Tiempo promedio: 4.431555
Tiempo minimo: 4.440736, Tiempo promedio: 4.463231
Tiempo minimo: 4.429546, Tiempo promedio: 4.434118
Tiempo minimo: 4.417104, Tiempo promedio: 4.419810
Tiempo minimo: 4.442326, Tiempo promedio: 4.449100
Tiempo minimo: 4.440286, Tiempo promedio: 4.444596
Tiempo minimo: 4.446808, Tiempo promedio: 4.450423
Tiempo minimo: 4.431312, Tiempo promedio: 4.439496
Tiempo minimo: 4.430028, Tiempo promedio: 4.435029
Tiempo minimo: 4.438047, Tiempo promedio: 4.445122
Tiempo minimo: 4.439590, Tiempo promedio: 4.446979
Tiempo minimo: 4.445105, Tiempo promedio: 4.449386
Tiempo minimo: 4.415792, Tiempo promedio: 4.419359
Tiempo minimo: 4.455074, Tiempo promedio: 4.459947
Tiempo minimo: 4.453262, Tiempo promedio: 4.460850
Tiempo minimo: 4.447019, Tiempo promedio: 4.456595
Tiempo minimo: 4.444183, Tiempo promedio: 4.453043
Tiempo minimo: 4.435924, Tiempo promedio: 4.443319
Tiempo minimo: 4.442127, Tiempo promedio: 4.447912
Tiempo minimo: 4.436888, Tiempo promedio: 4.446134
Tiempo minimo: 4.463203, Tiempo promedio: 4.470654
Tiempo minimo: 4.446210, Tiempo promedio: 4.451788
Tiempo minimo: 4.428243, Tiempo promedio: 4.437995
Tiempo minimo: 4.449358, Tiempo promedio: 4.460597
Tiempo minimo: 4.443897, Tiempo promedio: 4.449809
Tiempo minimo: 4.425747, Tiempo promedio: 4.432138
Tiempo minimo: 4.442680, Tiempo promedio: 4.453294
Tiempo minimo: 4.438834, Tiempo promedio: 4.450066
Tiempo minimo: 4.452421, Tiempo promedio: 4.463771
Tiempo minimo: 4.438099, Tiempo promedio: 4.448940
Tiempo minimo: 4.426784, Tiempo promedio: 4.445990
Promedio de tiempos minimos: 4.451596
