100 instancias de tamaño n = 100 y k = 140 
Tiempo minimo: 0.770127, Tiempo promedio: 0.775268
Tiempo minimo: 0.766958, Tiempo promedio: 0.771062
Tiempo minimo: 0.770386, Tiempo promedio: 0.773012
Tiempo minimo: 0.768933, Tiempo promedio: 0.773414
Tiempo minimo: 0.767590, Tiempo promedio: 0.772795
Tiempo minimo: 0.768677, Tiempo promedio: 0.774346
Tiempo minimo: 0.772258, Tiempo promedio: 0.774810
Tiempo minimo: 0.771551, Tiempo promedio: 0.775003
Tiempo minimo: 0.769795, Tiempo promedio: 0.775177
Tiempo minimo: 0.769820, Tiempo promedio: 0.775660
Tiempo minimo: 0.772725, Tiempo promedio: 0.776901
Tiempo minimo: 0.773385, Tiempo promedio: 0.776503
Tiempo minimo: 0.771841, Tiempo promedio: 0.776563
Tiempo minimo: 0.770020, Tiempo promedio: 0.774426
Tiempo minimo: 0.769508, Tiempo promedio: 0.775286
Tiempo minimo: 0.769380, Tiempo promedio: 0.773143
Tiempo minimo: 0.767935, Tiempo promedio: 0.772073
Tiempo minimo: 0.768656, Tiempo promedio: 0.771534
Tiempo minimo: 0.767970, Tiempo promedio: 0.770956
Tiempo minimo: 0.766250, Tiempo promedio: 0.770838
Tiempo minimo: 0.769102, Tiempo promedio: 0.772168
Tiempo minimo: 0.767815, Tiempo promedio: 0.772297
Tiempo minimo: 0.768814, Tiempo promedio: 0.773409
Tiempo minimo: 0.767462, Tiempo promedio: 0.772064
Tiempo minimo: 0.772392, Tiempo promedio: 0.776319
Tiempo minimo: 0.772092, Tiempo promedio: 0.775230
Tiempo minimo: 0.773689, Tiempo promedio: 0.776540
Tiempo minimo: 0.772353, Tiempo promedio: 0.777211
Tiempo minimo: 0.775193, Tiempo promedio: 0.777914
Tiempo minimo: 0.773829, Tiempo promedio: 0.778190
Tiempo minimo: 0.774011, Tiempo promedio: 0.778806
Tiempo minimo: 0.770495, Tiempo promedio: 0.773980
Tiempo minimo: 0.770558, Tiempo promedio: 0.773992
Tiempo minimo: 0.771558, Tiempo promedio: 0.775143
Tiempo minimo: 0.774097, Tiempo promedio: 0.776664
Tiempo minimo: 0.771267, Tiempo promedio: 0.775309
Tiempo minimo: 0.772693, Tiempo promedio: 0.776353
Tiempo minimo: 0.771185, Tiempo promedio: 0.776401
Tiempo minimo: 0.772941, Tiempo promedio: 0.775669
Tiempo minimo: 0.773365, Tiempo promedio: 0.776909
Tiempo minimo: 0.771033, Tiempo promedio: 0.775535
