100 instancias de tamaño n = 200 y k = 10 
Tiempo minimo: 0.219188, Tiempo promedio: 0.219560
Tiempo minimo: 0.217840, Tiempo promedio: 0.218075
Tiempo minimo: 0.219986, Tiempo promedio: 0.220176
Tiempo minimo: 0.218064, Tiempo promedio: 0.218217
Tiempo minimo: 0.219422, Tiempo promedio: 0.219616
Tiempo minimo: 0.218699, Tiempo promedio: 0.218837
Tiempo minimo: 0.219824, Tiempo promedio: 0.219949
Tiempo minimo: 0.220049, Tiempo promedio: 0.220160
Tiempo minimo: 0.220163, Tiempo promedio: 0.221233
Tiempo minimo: 0.219487, Tiempo promedio: 0.219813
Tiempo minimo: 0.218496, Tiempo promedio: 0.219865
Tiempo minimo: 0.218506, Tiempo promedio: 0.219533
Tiempo minimo: 0.218813, Tiempo promedio: 0.220100
Tiempo minimo: 0.220009, Tiempo promedio: 0.221453
Tiempo minimo: 0.219868, Tiempo promedio: 0.221434
Tiempo minimo: 0.218837, Tiempo promedio: 0.219776
Tiempo minimo: 0.219525, Tiempo promedio: 0.221111
Tiempo minimo: 0.219792, Tiempo promedio: 0.221514
Tiempo minimo: 0.218409, Tiempo promedio: 0.219704
Tiempo minimo: 0.218540, Tiempo promedio: 0.219824
Tiempo minimo: 0.218535, Tiempo promedio: 0.220226
Tiempo minimo: 0.219190, Tiempo promedio: 0.221158
Tiempo minimo: 0.217875, Tiempo promedio: 0.218963
Tiempo minimo: 0.219752, Tiempo promedio: 0.219988
Tiempo minimo: 0.220203, Tiempo promedio: 0.221451
Tiempo minimo: 0.218990, Tiempo promedio: 0.220424
Tiempo minimo: 0.217962, Tiempo promedio: 0.218630
Tiempo minimo: 0.218632, Tiempo promedio: 0.219342
Tiempo minimo: 0.219326, Tiempo promedio: 0.220396
Tiempo minimo: 0.218909, Tiempo promedio: 0.219174
Tiempo minimo: 0.219013, Tiempo promedio: 0.219779
Tiempo minimo: 0.218414, Tiempo promedio: 0.218914
Tiempo minimo: 0.218328, Tiempo promedio: 0.219041
Tiempo minimo: 0.218174, Tiempo promedio: 0.219021
Tiempo minimo: 0.218680, Tiempo promedio: 0.219392
Tiempo minimo: 0.219224, Tiempo promedio: 0.219939
Tiempo minimo: 0.219109, Tiempo promedio: 0.219910
Tiempo minimo: 0.218775, Tiempo promedio: 0.219032
Tiempo minimo: 0.219793, Tiempo promedio: 0.221034
Tiempo minimo: 0.218929, Tiempo promedio: 0.219693
Tiempo minimo: 0.219332, Tiempo promedio: 0.220015
Tiempo minimo: 0.220541, Tiempo promedio: 0.221645
Tiempo minimo: 0.218315, Tiempo promedio: 0.218980
Tiempo minimo: 0.219108, Tiempo promedio: 0.220164
Tiempo minimo: 0.219120, Tiempo promedio: 0.220505
Tiempo minimo: 0.218578, Tiempo promedio: 0.220478
Tiempo minimo: 0.219089, Tiempo promedio: 0.220184
Tiempo minimo: 0.219855, Tiempo promedio: 0.221793
Tiempo minimo: 0.218451, Tiempo promedio: 0.220534
Tiempo minimo: 0.218577, Tiempo promedio: 0.220458
Tiempo minimo: 0.219244, Tiempo promedio: 0.219863
Tiempo minimo: 0.218864, Tiempo promedio: 0.220461
Tiempo minimo: 0.219209, Tiempo promedio: 0.221011
Tiempo minimo: 0.218886, Tiempo promedio: 0.219853
Tiempo minimo: 0.219291, Tiempo promedio: 0.219628
Tiempo minimo: 0.218457, Tiempo promedio: 0.218717
Tiempo minimo: 0.218422, Tiempo promedio: 0.219570
Tiempo minimo: 0.218905, Tiempo promedio: 0.221443
Tiempo minimo: 0.219750, Tiempo promedio: 0.221007
Tiempo minimo: 0.218570, Tiempo promedio: 0.219584
Tiempo minimo: 0.219322, Tiempo promedio: 0.221167
Tiempo minimo: 0.219736, Tiempo promedio: 0.220727
Tiempo minimo: 0.218868, Tiempo promedio: 0.219598
Tiempo minimo: 0.218789, Tiempo promedio: 0.219328
Tiempo minimo: 0.219648, Tiempo promedio: 0.219890
Tiempo minimo: 0.219476, Tiempo promedio: 0.219956
Tiempo minimo: 0.219224, Tiempo promedio: 0.221095
Tiempo minimo: 0.219562, Tiempo promedio: 0.220378
Tiempo minimo: 0.219296, Tiempo promedio: 0.220008
Tiempo minimo: 0.219118, Tiempo promedio: 0.220177
Tiempo minimo: 0.219291, Tiempo promedio: 0.220283
Tiempo minimo: 0.218852, Tiempo promedio: 0.219804
Tiempo minimo: 0.218768, Tiempo promedio: 0.219511
Tiempo minimo: 0.218002, Tiempo promedio: 0.218539
Tiempo minimo: 0.218780, Tiempo promedio: 0.219562
Tiempo minimo: 0.218625, Tiempo promedio: 0.219652
Tiempo minimo: 0.219701, Tiempo promedio: 0.220601
Tiempo minimo: 0.218237, Tiempo promedio: 0.219217
Tiempo minimo: 0.219445, Tiempo promedio: 0.220405
Tiempo minimo: 0.218877, Tiempo promedio: 0.220315
Tiempo minimo: 0.219664, Tiempo promedio: 0.220579
Tiempo minimo: 0.219305, Tiempo promedio: 0.220061
Tiempo minimo: 0.219375, Tiempo promedio: 0.220094
Tiempo minimo: 0.218946, Tiempo promedio: 0.219600
Tiempo minimo: 0.218152, Tiempo promedio: 0.218432
Tiempo minimo: 0.219333, Tiempo promedio: 0.219617
Tiempo minimo: 0.218973, Tiempo promedio: 0.219775
Tiempo minimo: 0.218956, Tiempo promedio: 0.219834
Tiempo minimo: 0.218534, Tiempo promedio: 0.219137
Tiempo minimo: 0.219997, Tiempo promedio: 0.220850
Tiempo minimo: 0.218542, Tiempo promedio: 0.219606
Tiempo minimo: 0.218941, Tiempo promedio: 0.219812
Tiempo minimo: 0.220142, Tiempo promedio: 0.220942
Tiempo minimo: 0.219421, Tiempo promedio: 0.220723
Tiempo minimo: 0.219320, Tiempo promedio: 0.220362
Tiempo minimo: 0.219622, Tiempo promedio: 0.220616
Tiempo minimo: 0.217983, Tiempo promedio: 0.219246
Tiempo minimo: 0.219494, Tiempo promedio: 0.221013
Tiempo minimo: 0.219720, Tiempo promedio: 0.221324
Tiempo minimo: 0.219891, Tiempo promedio: 0.221153
Promedio de tiempos minimos: 0.219078
