100 instancias de tamaño n = 100 y k = 60 
Tiempo minimo: 0.330032, Tiempo promedio: 0.335375
Tiempo minimo: 0.332777, Tiempo promedio: 0.335122
Tiempo minimo: 0.333278, Tiempo promedio: 0.335514
Tiempo minimo: 0.331651, Tiempo promedio: 0.333774
Tiempo minimo: 0.331564, Tiempo promedio: 0.333556
Tiempo minimo: 0.332696, Tiempo promedio: 0.334378
Tiempo minimo: 0.334184, Tiempo promedio: 0.335432
Tiempo minimo: 0.332265, Tiempo promedio: 0.334037
Tiempo minimo: 0.332694, Tiempo promedio: 0.333850
Tiempo minimo: 0.332059, Tiempo promedio: 0.334105
Tiempo minimo: 0.331027, Tiempo promedio: 0.333348
Tiempo minimo: 0.329431, Tiempo promedio: 0.332312
Tiempo minimo: 0.330550, Tiempo promedio: 0.332760
Tiempo minimo: 0.330556, Tiempo promedio: 0.332598
Tiempo minimo: 0.330501, Tiempo promedio: 0.332560
Tiempo minimo: 0.330818, Tiempo promedio: 0.332995
Tiempo minimo: 0.331145, Tiempo promedio: 0.332884
Tiempo minimo: 0.331229, Tiempo promedio: 0.332617
Tiempo minimo: 0.331585, Tiempo promedio: 0.333688
Tiempo minimo: 0.332237, Tiempo promedio: 0.333834
Tiempo minimo: 0.332136, Tiempo promedio: 0.333325
Tiempo minimo: 0.331863, Tiempo promedio: 0.333708
Tiempo minimo: 0.331161, Tiempo promedio: 0.333010
Tiempo minimo: 0.332412, Tiempo promedio: 0.334339
Tiempo minimo: 0.331460, Tiempo promedio: 0.334192
Tiempo minimo: 0.332390, Tiempo promedio: 0.334359
Tiempo minimo: 0.332361, Tiempo promedio: 0.333988
Tiempo minimo: 0.331623, Tiempo promedio: 0.333271
Tiempo minimo: 0.332403, Tiempo promedio: 0.333669
Tiempo minimo: 0.332489, Tiempo promedio: 0.334554
Tiempo minimo: 0.332705, Tiempo promedio: 0.335489
Tiempo minimo: 0.331896, Tiempo promedio: 0.334809
Tiempo minimo: 0.333078, Tiempo promedio: 0.334708
Tiempo minimo: 0.332252, Tiempo promedio: 0.334593
