100 instancias de tamaño n = 100 y k = 10 
Tiempo minimo: 0.054234, Tiempo promedio: 0.054981
Tiempo minimo: 0.054331, Tiempo promedio: 0.054711
Tiempo minimo: 0.054346, Tiempo promedio: 0.055274
Tiempo minimo: 0.054275, Tiempo promedio: 0.055361
Tiempo minimo: 0.054330, Tiempo promedio: 0.054480
Tiempo minimo: 0.054100, Tiempo promedio: 0.054395
Tiempo minimo: 0.054339, Tiempo promedio: 0.054535
Tiempo minimo: 0.054319, Tiempo promedio: 0.054461
Tiempo minimo: 0.054151, Tiempo promedio: 0.054336
Tiempo minimo: 0.054354, Tiempo promedio: 0.054528
Tiempo minimo: 0.054604, Tiempo promedio: 0.054760
Tiempo minimo: 0.054644, Tiempo promedio: 0.054778
Tiempo minimo: 0.054148, Tiempo promedio: 0.054500
Tiempo minimo: 0.054430, Tiempo promedio: 0.054586
Tiempo minimo: 0.054292, Tiempo promedio: 0.054374
Tiempo minimo: 0.054126, Tiempo promedio: 0.054228
Tiempo minimo: 0.054567, Tiempo promedio: 0.054814
Tiempo minimo: 0.054582, Tiempo promedio: 0.054729
Tiempo minimo: 0.054380, Tiempo promedio: 0.056684
Tiempo minimo: 0.054323, Tiempo promedio: 0.055199
Tiempo minimo: 0.054430, Tiempo promedio: 0.054798
Tiempo minimo: 0.054399, Tiempo promedio: 0.056457
Tiempo minimo: 0.054373, Tiempo promedio: 0.054770
Tiempo minimo: 0.054254, Tiempo promedio: 0.054458
Tiempo minimo: 0.054491, Tiempo promedio: 0.054837
Tiempo minimo: 0.054391, Tiempo promedio: 0.054505
Tiempo minimo: 0.054297, Tiempo promedio: 0.054482
Tiempo minimo: 0.054211, Tiempo promedio: 0.054368
Tiempo minimo: 0.054533, Tiempo promedio: 0.054660
Tiempo minimo: 0.054056, Tiempo promedio: 0.054401
Tiempo minimo: 0.054165, Tiempo promedio: 0.054260
Tiempo minimo: 0.054468, Tiempo promedio: 0.055105
Tiempo minimo: 0.054302, Tiempo promedio: 0.054808
Tiempo minimo: 0.054544, Tiempo promedio: 0.054816
Tiempo minimo: 0.054413, Tiempo promedio: 0.054592
Tiempo minimo: 0.054123, Tiempo promedio: 0.054257
Tiempo minimo: 0.054063, Tiempo promedio: 0.054197
Tiempo minimo: 0.054310, Tiempo promedio: 0.054414
Tiempo minimo: 0.054203, Tiempo promedio: 0.054408
Tiempo minimo: 0.054543, Tiempo promedio: 0.054850
Tiempo minimo: 0.054294, Tiempo promedio: 0.054409
Tiempo minimo: 0.054263, Tiempo promedio: 0.054372
Tiempo minimo: 0.054324, Tiempo promedio: 0.054419
Tiempo minimo: 0.054548, Tiempo promedio: 0.054669
Tiempo minimo: 0.054239, Tiempo promedio: 0.054344
Tiempo minimo: 0.054266, Tiempo promedio: 0.054338
Tiempo minimo: 0.054335, Tiempo promedio: 0.055031
Tiempo minimo: 0.054104, Tiempo promedio: 0.055641
Tiempo minimo: 0.054617, Tiempo promedio: 0.055209
Tiempo minimo: 0.054510, Tiempo promedio: 0.054970
Tiempo minimo: 0.054822, Tiempo promedio: 0.055276
Tiempo minimo: 0.054519, Tiempo promedio: 0.055127
Tiempo minimo: 0.054646, Tiempo promedio: 0.055469
Tiempo minimo: 0.055202, Tiempo promedio: 0.055798
Tiempo minimo: 0.054880, Tiempo promedio: 0.055556
Tiempo minimo: 0.055011, Tiempo promedio: 0.055725
Tiempo minimo: 0.054344, Tiempo promedio: 0.055763
Tiempo minimo: 0.054442, Tiempo promedio: 0.054546
Tiempo minimo: 0.054364, Tiempo promedio: 0.054439
Tiempo minimo: 0.054290, Tiempo promedio: 0.054373
Tiempo minimo: 0.054151, Tiempo promedio: 0.054245
Tiempo minimo: 0.054298, Tiempo promedio: 0.054386
Tiempo minimo: 0.054037, Tiempo promedio: 0.054107
Tiempo minimo: 0.054294, Tiempo promedio: 0.054350
Tiempo minimo: 0.054437, Tiempo promedio: 0.054538
Tiempo minimo: 0.054171, Tiempo promedio: 0.054268
Tiempo minimo: 0.054010, Tiempo promedio: 0.054097
Tiempo minimo: 0.054171, Tiempo promedio: 0.054267
Tiempo minimo: 0.054316, Tiempo promedio: 0.054377
Tiempo minimo: 0.054089, Tiempo promedio: 0.054161
