100 instancias de tamaño n = 100 y k = 120 
Tiempo minimo: 0.661053, Tiempo promedio: 0.664520
Tiempo minimo: 0.660047, Tiempo promedio: 0.665237
Tiempo minimo: 0.662958, Tiempo promedio: 0.666383
Tiempo minimo: 0.663636, Tiempo promedio: 0.667389
Tiempo minimo: 0.660822, Tiempo promedio: 0.666516
Tiempo minimo: 0.660575, Tiempo promedio: 0.666217
Tiempo minimo: 0.663846, Tiempo promedio: 0.666764
Tiempo minimo: 0.662201, Tiempo promedio: 0.666196
Tiempo minimo: 0.661772, Tiempo promedio: 0.667224
Tiempo minimo: 0.660694, Tiempo promedio: 0.664353
Tiempo minimo: 0.659099, Tiempo promedio: 0.662827
Tiempo minimo: 0.659678, Tiempo promedio: 0.663660
Tiempo minimo: 0.656769, Tiempo promedio: 0.662625
Tiempo minimo: 0.658629, Tiempo promedio: 0.662669
Tiempo minimo: 0.658230, Tiempo promedio: 0.662603
Tiempo minimo: 0.660621, Tiempo promedio: 0.664037
Tiempo minimo: 0.661549, Tiempo promedio: 0.665361
Tiempo minimo: 0.661478, Tiempo promedio: 0.665275
Tiempo minimo: 0.657189, Tiempo promedio: 0.661358
Tiempo minimo: 0.658292, Tiempo promedio: 0.661681
Tiempo minimo: 0.662068, Tiempo promedio: 0.665046
Tiempo minimo: 0.661354, Tiempo promedio: 0.665654
Tiempo minimo: 0.661972, Tiempo promedio: 0.665234
Tiempo minimo: 0.662206, Tiempo promedio: 0.667280
Tiempo minimo: 0.664801, Tiempo promedio: 0.666882
Tiempo minimo: 0.663924, Tiempo promedio: 0.667523
Tiempo minimo: 0.659911, Tiempo promedio: 0.666868
Tiempo minimo: 0.661208, Tiempo promedio: 0.663845
Tiempo minimo: 0.658814, Tiempo promedio: 0.662486
Tiempo minimo: 0.660666, Tiempo promedio: 0.664420
Tiempo minimo: 0.661779, Tiempo promedio: 0.665152
Tiempo minimo: 0.660151, Tiempo promedio: 0.665209
Tiempo minimo: 0.662520, Tiempo promedio: 0.664965
Tiempo minimo: 0.659755, Tiempo promedio: 0.663391
Tiempo minimo: 0.660773, Tiempo promedio: 0.665117
Tiempo minimo: 0.661231, Tiempo promedio: 0.664092
Tiempo minimo: 0.657720, Tiempo promedio: 0.663100
Tiempo minimo: 0.662639, Tiempo promedio: 0.665734
Tiempo minimo: 0.663503, Tiempo promedio: 0.668846
Tiempo minimo: 0.662064, Tiempo promedio: 0.667133
Tiempo minimo: 0.664856, Tiempo promedio: 0.667541
Tiempo minimo: 0.664656, Tiempo promedio: 0.668889
Tiempo minimo: 0.663188, Tiempo promedio: 0.667650
Tiempo minimo: 0.668848, Tiempo promedio: 0.671611
Tiempo minimo: 0.667817, Tiempo promedio: 0.671227
Tiempo minimo: 0.662788, Tiempo promedio: 0.666408
Tiempo minimo: 0.659683, Tiempo promedio: 0.664586
Tiempo minimo: 0.660072, Tiempo promedio: 0.664628
Tiempo minimo: 0.660581, Tiempo promedio: 0.665295
Tiempo minimo: 0.658648, Tiempo promedio: 0.663626
Tiempo minimo: 0.657960, Tiempo promedio: 0.662733
Tiempo minimo: 0.661557, Tiempo promedio: 0.666127
Tiempo minimo: 0.659114, Tiempo promedio: 0.665682
Tiempo minimo: 0.658806, Tiempo promedio: 0.661849
Tiempo minimo: 0.660418, Tiempo promedio: 0.662802
Tiempo minimo: 0.661177, Tiempo promedio: 0.663641
Tiempo minimo: 0.660741, Tiempo promedio: 0.664541
Tiempo minimo: 0.663537, Tiempo promedio: 0.667643
Tiempo minimo: 0.658777, Tiempo promedio: 0.664086
Tiempo minimo: 0.663644, Tiempo promedio: 0.666172
Tiempo minimo: 0.664121, Tiempo promedio: 0.667092
Tiempo minimo: 0.660969, Tiempo promedio: 0.665302
Tiempo minimo: 0.661062, Tiempo promedio: 0.664869
Tiempo minimo: 0.659677, Tiempo promedio: 0.662946
Tiempo minimo: 0.658393, Tiempo promedio: 0.662275
Tiempo minimo: 0.658673, Tiempo promedio: 0.661323
Tiempo minimo: 0.657515, Tiempo promedio: 0.661458
Tiempo minimo: 0.660970, Tiempo promedio: 0.663996
Tiempo minimo: 0.657972, Tiempo promedio: 0.661872
Tiempo minimo: 0.660635, Tiempo promedio: 0.663894
Tiempo minimo: 0.659221, Tiempo promedio: 0.662674
Tiempo minimo: 0.658783, Tiempo promedio: 0.662745
Tiempo minimo: 0.659973, Tiempo promedio: 0.663397
Tiempo minimo: 0.661829, Tiempo promedio: 0.664397
Tiempo minimo: 0.661246, Tiempo promedio: 0.665576
Tiempo minimo: 0.660372, Tiempo promedio: 0.665498
Tiempo minimo: 0.663865, Tiempo promedio: 0.666774
Tiempo minimo: 0.663402, Tiempo promedio: 0.668102
Tiempo minimo: 0.661731, Tiempo promedio: 0.666383
Tiempo minimo: 0.664960, Tiempo promedio: 0.667698
Tiempo minimo: 0.659894, Tiempo promedio: 0.665475
Tiempo minimo: 0.660414, Tiempo promedio: 0.664939
Tiempo minimo: 0.660665, Tiempo promedio: 0.663874
Tiempo minimo: 0.660988, Tiempo promedio: 0.665001
Tiempo minimo: 0.660946, Tiempo promedio: 0.664475
Tiempo minimo: 0.660767, Tiempo promedio: 0.664136
Tiempo minimo: 0.659714, Tiempo promedio: 0.662688
Tiempo minimo: 0.658539, Tiempo promedio: 0.661599
Tiempo minimo: 0.660287, Tiempo promedio: 0.663723
Tiempo minimo: 0.657995, Tiempo promedio: 0.663528
Tiempo minimo: 0.657464, Tiempo promedio: 0.661073
Tiempo minimo: 0.658387, Tiempo promedio: 0.662853
Tiempo minimo: 0.660492, Tiempo promedio: 0.663190
Tiempo minimo: 0.660384, Tiempo promedio: 0.665233
Tiempo minimo: 0.662131, Tiempo promedio: 0.667153
Tiempo minimo: 0.663492, Tiempo promedio: 0.667013
Tiempo minimo: 0.661840, Tiempo promedio: 0.665529
Tiempo minimo: 0.661127, Tiempo promedio: 0.666211
Tiempo minimo: 0.659809, Tiempo promedio: 0.664909
Tiempo minimo: 0.659585, Tiempo promedio: 0.663587
Promedio de tiempos minimos: 0.660954
