100 instancias de tamaño n = 800 y k = 10 
Tiempo minimo: 3.548347, Tiempo promedio: 3.571535
Tiempo minimo: 3.555620, Tiempo promedio: 3.564607
Tiempo minimo: 3.568804, Tiempo promedio: 3.578913
Tiempo minimo: 3.570183, Tiempo promedio: 3.582795
Tiempo minimo: 3.559109, Tiempo promedio: 3.568960
Tiempo minimo: 3.550479, Tiempo promedio: 3.566392
Tiempo minimo: 3.546135, Tiempo promedio: 3.561262
Tiempo minimo: 3.549650, Tiempo promedio: 3.558960
Tiempo minimo: 3.566715, Tiempo promedio: 3.580128
Tiempo minimo: 3.556901, Tiempo promedio: 3.570877
Tiempo minimo: 3.529984, Tiempo promedio: 3.543965
Tiempo minimo: 3.553889, Tiempo promedio: 3.566802
Tiempo minimo: 3.529133, Tiempo promedio: 3.540238
Tiempo minimo: 3.551537, Tiempo promedio: 3.560296
Tiempo minimo: 3.539405, Tiempo promedio: 3.548589
Tiempo minimo: 3.551450, Tiempo promedio: 3.563551
Tiempo minimo: 3.538502, Tiempo promedio: 3.551923
Tiempo minimo: 3.555128, Tiempo promedio: 3.568269
Tiempo minimo: 3.558028, Tiempo promedio: 3.567376
Tiempo minimo: 3.538474, Tiempo promedio: 3.553979
Tiempo minimo: 3.516536, Tiempo promedio: 3.527507
Tiempo minimo: 3.520796, Tiempo promedio: 3.534783
Tiempo minimo: 3.531643, Tiempo promedio: 3.541474
Tiempo minimo: 3.561577, Tiempo promedio: 3.577321
Tiempo minimo: 3.540461, Tiempo promedio: 3.552561
Tiempo minimo: 3.542832, Tiempo promedio: 3.559439
Tiempo minimo: 3.539940, Tiempo promedio: 3.554250
Tiempo minimo: 3.573794, Tiempo promedio: 3.583740
Tiempo minimo: 3.579370, Tiempo promedio: 3.587372
Tiempo minimo: 3.540587, Tiempo promedio: 3.549715
Tiempo minimo: 3.543992, Tiempo promedio: 3.557199
Tiempo minimo: 3.534306, Tiempo promedio: 3.551804
Tiempo minimo: 3.542284, Tiempo promedio: 3.557838
Tiempo minimo: 3.541712, Tiempo promedio: 3.551635
Tiempo minimo: 3.544510, Tiempo promedio: 3.551303
Tiempo minimo: 3.543740, Tiempo promedio: 3.556230
Tiempo minimo: 3.518426, Tiempo promedio: 3.542174
Tiempo minimo: 3.543133, Tiempo promedio: 3.559492
Tiempo minimo: 3.527976, Tiempo promedio: 3.543218
Tiempo minimo: 3.532495, Tiempo promedio: 3.552708
Tiempo minimo: 3.561278, Tiempo promedio: 3.575703
Tiempo minimo: 3.548684, Tiempo promedio: 3.565637
Tiempo minimo: 3.538106, Tiempo promedio: 3.546106
Tiempo minimo: 3.542665, Tiempo promedio: 3.554505
Tiempo minimo: 3.540982, Tiempo promedio: 3.550485
Tiempo minimo: 3.542488, Tiempo promedio: 3.550307
Tiempo minimo: 3.539587, Tiempo promedio: 3.546967
Tiempo minimo: 3.555134, Tiempo promedio: 3.571043
Tiempo minimo: 3.541176, Tiempo promedio: 3.560097
Tiempo minimo: 3.557005, Tiempo promedio: 3.571760
Tiempo minimo: 3.518471, Tiempo promedio: 3.529395
Tiempo minimo: 3.562711, Tiempo promedio: 3.576322
Tiempo minimo: 3.539909, Tiempo promedio: 3.551610
Tiempo minimo: 3.548304, Tiempo promedio: 3.564593
Tiempo minimo: 3.537976, Tiempo promedio: 3.552108
Tiempo minimo: 3.532980, Tiempo promedio: 3.553921
Tiempo minimo: 3.553272, Tiempo promedio: 3.572169
Tiempo minimo: 3.565270, Tiempo promedio: 3.570310
Tiempo minimo: 3.569784, Tiempo promedio: 3.583309
Tiempo minimo: 3.553866, Tiempo promedio: 3.570857
Tiempo minimo: 3.553644, Tiempo promedio: 3.569093
Tiempo minimo: 3.536127, Tiempo promedio: 3.553804
Tiempo minimo: 3.515389, Tiempo promedio: 3.535282
Tiempo minimo: 3.554523, Tiempo promedio: 3.559283
Tiempo minimo: 3.553400, Tiempo promedio: 3.564218
Tiempo minimo: 3.543558, Tiempo promedio: 3.555547
Tiempo minimo: 3.523558, Tiempo promedio: 3.535359
