100 instancias de tamaño n = 600 y k = 10 
Tiempo minimo: 1.987479, Tiempo promedio: 2.005310
Tiempo minimo: 1.997137, Tiempo promedio: 2.003957
Tiempo minimo: 2.008174, Tiempo promedio: 2.015142
Tiempo minimo: 1.990681, Tiempo promedio: 1.995856
Tiempo minimo: 1.999042, Tiempo promedio: 2.008415
Tiempo minimo: 2.016589, Tiempo promedio: 2.027786
Tiempo minimo: 2.013674, Tiempo promedio: 2.021263
Tiempo minimo: 2.005403, Tiempo promedio: 2.013118
Tiempo minimo: 2.005495, Tiempo promedio: 2.013047
Tiempo minimo: 1.998614, Tiempo promedio: 2.004572
Tiempo minimo: 2.007821, Tiempo promedio: 2.011902
Tiempo minimo: 2.004558, Tiempo promedio: 2.011821
Tiempo minimo: 2.011726, Tiempo promedio: 2.016645
Tiempo minimo: 2.009666, Tiempo promedio: 2.017519
Tiempo minimo: 2.006244, Tiempo promedio: 2.015142
Tiempo minimo: 1.997692, Tiempo promedio: 2.011035
Tiempo minimo: 2.005830, Tiempo promedio: 2.014047
Tiempo minimo: 2.004963, Tiempo promedio: 2.013817
Tiempo minimo: 2.003990, Tiempo promedio: 2.011606
Tiempo minimo: 2.002997, Tiempo promedio: 2.009330
Tiempo minimo: 1.984864, Tiempo promedio: 1.992631
Tiempo minimo: 1.992835, Tiempo promedio: 2.002742
Tiempo minimo: 1.994288, Tiempo promedio: 2.004410
Tiempo minimo: 2.016625, Tiempo promedio: 2.022514
Tiempo minimo: 2.015707, Tiempo promedio: 2.023960
Tiempo minimo: 2.012177, Tiempo promedio: 2.020495
Tiempo minimo: 2.007800, Tiempo promedio: 2.016811
Tiempo minimo: 2.005715, Tiempo promedio: 2.018374
Tiempo minimo: 2.001231, Tiempo promedio: 2.010589
Tiempo minimo: 1.993541, Tiempo promedio: 2.003686
Tiempo minimo: 2.000312, Tiempo promedio: 2.009751
Tiempo minimo: 1.995216, Tiempo promedio: 2.004550
Tiempo minimo: 2.008047, Tiempo promedio: 2.013897
Tiempo minimo: 1.999419, Tiempo promedio: 2.011035
Tiempo minimo: 2.023914, Tiempo promedio: 2.031096
Tiempo minimo: 2.008421, Tiempo promedio: 2.016118
Tiempo minimo: 2.011634, Tiempo promedio: 2.018274
Tiempo minimo: 2.003776, Tiempo promedio: 2.011245
Tiempo minimo: 1.992692, Tiempo promedio: 2.004897
Tiempo minimo: 2.015761, Tiempo promedio: 2.025647
