100 instancias de tamaño n = 100 y k = 80 
Tiempo minimo: 0.436146, Tiempo promedio: 0.439279
Tiempo minimo: 0.438722, Tiempo promedio: 0.443021
Tiempo minimo: 0.438126, Tiempo promedio: 0.441518
Tiempo minimo: 0.437427, Tiempo promedio: 0.440205
Tiempo minimo: 0.437574, Tiempo promedio: 0.439642
Tiempo minimo: 0.437202, Tiempo promedio: 0.438466
Tiempo minimo: 0.437062, Tiempo promedio: 0.438919
Tiempo minimo: 0.437430, Tiempo promedio: 0.439448
Tiempo minimo: 0.436497, Tiempo promedio: 0.438475
Tiempo minimo: 0.437576, Tiempo promedio: 0.440338
Tiempo minimo: 0.437852, Tiempo promedio: 0.440584
Tiempo minimo: 0.436533, Tiempo promedio: 0.439663
Tiempo minimo: 0.437038, Tiempo promedio: 0.438710
Tiempo minimo: 0.436889, Tiempo promedio: 0.439017
Tiempo minimo: 0.436145, Tiempo promedio: 0.438505
Tiempo minimo: 0.436490, Tiempo promedio: 0.439064
Tiempo minimo: 0.437095, Tiempo promedio: 0.439349
Tiempo minimo: 0.435571, Tiempo promedio: 0.437807
Tiempo minimo: 0.435819, Tiempo promedio: 0.438190
Tiempo minimo: 0.436597, Tiempo promedio: 0.438114
Tiempo minimo: 0.436651, Tiempo promedio: 0.438840
Tiempo minimo: 0.435785, Tiempo promedio: 0.437846
Tiempo minimo: 0.435847, Tiempo promedio: 0.438425
Tiempo minimo: 0.436012, Tiempo promedio: 0.438119
Tiempo minimo: 0.436570, Tiempo promedio: 0.438459
Tiempo minimo: 0.436243, Tiempo promedio: 0.438298
Tiempo minimo: 0.435350, Tiempo promedio: 0.437948
Tiempo minimo: 0.435240, Tiempo promedio: 0.437360
Tiempo minimo: 0.435742, Tiempo promedio: 0.438401
Tiempo minimo: 0.436023, Tiempo promedio: 0.437712
Tiempo minimo: 0.436420, Tiempo promedio: 0.437557
Tiempo minimo: 0.435969, Tiempo promedio: 0.438100
Tiempo minimo: 0.436484, Tiempo promedio: 0.438427
Tiempo minimo: 0.436150, Tiempo promedio: 0.438191
Tiempo minimo: 0.435898, Tiempo promedio: 0.438035
Tiempo minimo: 0.435783, Tiempo promedio: 0.437259
Tiempo minimo: 0.436621, Tiempo promedio: 0.438448
Tiempo minimo: 0.436253, Tiempo promedio: 0.437782
Tiempo minimo: 0.435824, Tiempo promedio: 0.437804
Tiempo minimo: 0.435907, Tiempo promedio: 0.437638
Tiempo minimo: 0.436382, Tiempo promedio: 0.438369
Tiempo minimo: 0.435810, Tiempo promedio: 0.437447
Tiempo minimo: 0.435169, Tiempo promedio: 0.436481
Tiempo minimo: 0.435457, Tiempo promedio: 0.436558
Tiempo minimo: 0.435579, Tiempo promedio: 0.437415
Tiempo minimo: 0.435539, Tiempo promedio: 0.436721
Tiempo minimo: 0.435347, Tiempo promedio: 0.437411
Tiempo minimo: 0.436341, Tiempo promedio: 0.438500
Tiempo minimo: 0.435867, Tiempo promedio: 0.438280
Tiempo minimo: 0.435532, Tiempo promedio: 0.437432
Tiempo minimo: 0.436854, Tiempo promedio: 0.438835
Tiempo minimo: 0.436032, Tiempo promedio: 0.438500
Tiempo minimo: 0.436778, Tiempo promedio: 0.440019
Tiempo minimo: 0.436723, Tiempo promedio: 0.439687
Tiempo minimo: 0.436778, Tiempo promedio: 0.439157
Tiempo minimo: 0.436775, Tiempo promedio: 0.439578
Tiempo minimo: 0.436978, Tiempo promedio: 0.439229
Tiempo minimo: 0.435695, Tiempo promedio: 0.437943
Tiempo minimo: 0.436745, Tiempo promedio: 0.438759
Tiempo minimo: 0.435988, Tiempo promedio: 0.437517
Tiempo minimo: 0.436009, Tiempo promedio: 0.437424
Tiempo minimo: 0.435557, Tiempo promedio: 0.437370
Tiempo minimo: 0.436294, Tiempo promedio: 0.438265
Tiempo minimo: 0.436731, Tiempo promedio: 0.439103
Tiempo minimo: 0.436407, Tiempo promedio: 0.437706
Tiempo minimo: 0.436171, Tiempo promedio: 0.438655
Tiempo minimo: 0.435908, Tiempo promedio: 0.437874
Tiempo minimo: 0.436421, Tiempo promedio: 0.437840
Tiempo minimo: 0.442307, Tiempo promedio: 0.450826
Tiempo minimo: 0.451269, Tiempo promedio: 0.453554
Tiempo minimo: 0.450644, Tiempo promedio: 0.452433
Tiempo minimo: 0.449270, Tiempo promedio: 0.451451
Tiempo minimo: 0.449714, Tiempo promedio: 0.451657
Tiempo minimo: 0.449273, Tiempo promedio: 0.451653
Tiempo minimo: 0.449857, Tiempo promedio: 0.452949
Tiempo minimo: 0.450114, Tiempo promedio: 0.452244
Tiempo minimo: 0.448181, Tiempo promedio: 0.453314
Tiempo minimo: 0.448677, Tiempo promedio: 0.451776
Tiempo minimo: 0.449045, Tiempo promedio: 0.451147
Tiempo minimo: 0.447357, Tiempo promedio: 0.450161
Tiempo minimo: 0.448837, Tiempo promedio: 0.450756
Tiempo minimo: 0.449044, Tiempo promedio: 0.450986
Tiempo minimo: 0.448463, Tiempo promedio: 0.451173
Tiempo minimo: 0.449410, Tiempo promedio: 0.451123
