100 instancias de tamaño n = 500 y k = 10 
Tiempo minimo: 1.388286, Tiempo promedio: 1.394060
Tiempo minimo: 1.387994, Tiempo promedio: 1.393301
Tiempo minimo: 1.389883, Tiempo promedio: 1.400768
Tiempo minimo: 1.388464, Tiempo promedio: 1.394755
Tiempo minimo: 1.390458, Tiempo promedio: 1.396712
Tiempo minimo: 1.387498, Tiempo promedio: 1.395377
Tiempo minimo: 1.387414, Tiempo promedio: 1.393259
Tiempo minimo: 1.389582, Tiempo promedio: 1.397074
Tiempo minimo: 1.400371, Tiempo promedio: 1.405672
Tiempo minimo: 1.394995, Tiempo promedio: 1.399719
Tiempo minimo: 1.384347, Tiempo promedio: 1.390292
Tiempo minimo: 1.381241, Tiempo promedio: 1.390939
Tiempo minimo: 1.396833, Tiempo promedio: 1.401439
Tiempo minimo: 1.393240, Tiempo promedio: 1.398980
Tiempo minimo: 1.391611, Tiempo promedio: 1.398455
Tiempo minimo: 1.377862, Tiempo promedio: 1.382195
Tiempo minimo: 1.393810, Tiempo promedio: 1.398177
Tiempo minimo: 1.390636, Tiempo promedio: 1.398113
Tiempo minimo: 1.391203, Tiempo promedio: 1.396140
Tiempo minimo: 1.387988, Tiempo promedio: 1.394552
Tiempo minimo: 1.396660, Tiempo promedio: 1.399744
Tiempo minimo: 1.390572, Tiempo promedio: 1.396880
Tiempo minimo: 1.380680, Tiempo promedio: 1.387907
Tiempo minimo: 1.392982, Tiempo promedio: 1.396774
Tiempo minimo: 1.384896, Tiempo promedio: 1.392943
Tiempo minimo: 1.386437, Tiempo promedio: 1.391663
Tiempo minimo: 1.384949, Tiempo promedio: 1.390573
Tiempo minimo: 1.389851, Tiempo promedio: 1.394675
Tiempo minimo: 1.387330, Tiempo promedio: 1.393824
Tiempo minimo: 1.387630, Tiempo promedio: 1.395191
Tiempo minimo: 1.395094, Tiempo promedio: 1.402075
Tiempo minimo: 1.386773, Tiempo promedio: 1.394513
Tiempo minimo: 1.390536, Tiempo promedio: 1.394557
Tiempo minimo: 1.393710, Tiempo promedio: 1.397325
Tiempo minimo: 1.400026, Tiempo promedio: 1.404770
Tiempo minimo: 1.396516, Tiempo promedio: 1.401945
Tiempo minimo: 1.392757, Tiempo promedio: 1.398203
Tiempo minimo: 1.396248, Tiempo promedio: 1.403200
Tiempo minimo: 1.384665, Tiempo promedio: 1.391658
Tiempo minimo: 1.390634, Tiempo promedio: 1.396601
