100 instancias de tamaño n = 100 y k = 100 
Tiempo minimo: 0.544769, Tiempo promedio: 0.547805
Tiempo minimo: 0.544126, Tiempo promedio: 0.547252
Tiempo minimo: 0.544550, Tiempo promedio: 0.548318
Tiempo minimo: 0.544262, Tiempo promedio: 0.549898
Tiempo minimo: 0.543339, Tiempo promedio: 0.545224
Tiempo minimo: 0.542934, Tiempo promedio: 0.545279
Tiempo minimo: 0.544211, Tiempo promedio: 0.546045
Tiempo minimo: 0.543346, Tiempo promedio: 0.545417
Tiempo minimo: 0.544005, Tiempo promedio: 0.545833
Tiempo minimo: 0.543531, Tiempo promedio: 0.545691
Tiempo minimo: 0.544364, Tiempo promedio: 0.546820
Tiempo minimo: 0.542528, Tiempo promedio: 0.544129
Tiempo minimo: 0.544637, Tiempo promedio: 0.546389
Tiempo minimo: 0.543417, Tiempo promedio: 0.544701
Tiempo minimo: 0.543528, Tiempo promedio: 0.545507
Tiempo minimo: 0.543000, Tiempo promedio: 0.545168
Tiempo minimo: 0.544131, Tiempo promedio: 0.547263
Tiempo minimo: 0.543205, Tiempo promedio: 0.545159
Tiempo minimo: 0.544238, Tiempo promedio: 0.546360
Tiempo minimo: 0.544264, Tiempo promedio: 0.546344
Tiempo minimo: 0.544156, Tiempo promedio: 0.546255
Tiempo minimo: 0.544377, Tiempo promedio: 0.546664
Tiempo minimo: 0.544117, Tiempo promedio: 0.546659
Tiempo minimo: 0.544779, Tiempo promedio: 0.547115
Tiempo minimo: 0.543687, Tiempo promedio: 0.545928
Tiempo minimo: 0.544137, Tiempo promedio: 0.546530
Tiempo minimo: 0.544533, Tiempo promedio: 0.547057
Tiempo minimo: 0.543713, Tiempo promedio: 0.546048
Tiempo minimo: 0.544241, Tiempo promedio: 0.547168
Tiempo minimo: 0.543307, Tiempo promedio: 0.546719
Tiempo minimo: 0.542916, Tiempo promedio: 0.545053
Tiempo minimo: 0.543173, Tiempo promedio: 0.546178
Tiempo minimo: 0.545084, Tiempo promedio: 0.547847
Tiempo minimo: 0.544092, Tiempo promedio: 0.546991
Tiempo minimo: 0.545895, Tiempo promedio: 0.548651
Tiempo minimo: 0.545068, Tiempo promedio: 0.547437
Tiempo minimo: 0.543673, Tiempo promedio: 0.546925
Tiempo minimo: 0.545154, Tiempo promedio: 0.548214
Tiempo minimo: 0.544589, Tiempo promedio: 0.546895
Tiempo minimo: 0.545727, Tiempo promedio: 0.548675
Tiempo minimo: 0.546196, Tiempo promedio: 0.548936
Tiempo minimo: 0.544025, Tiempo promedio: 0.547805
Tiempo minimo: 0.543755, Tiempo promedio: 0.548022
Tiempo minimo: 0.544628, Tiempo promedio: 0.547249
Tiempo minimo: 0.544406, Tiempo promedio: 0.546578
Tiempo minimo: 0.544704, Tiempo promedio: 0.548660
Tiempo minimo: 0.545783, Tiempo promedio: 0.548462
Tiempo minimo: 0.544723, Tiempo promedio: 0.547552
Tiempo minimo: 0.543918, Tiempo promedio: 0.549025
Tiempo minimo: 0.544167, Tiempo promedio: 0.548615
Tiempo minimo: 0.546580, Tiempo promedio: 0.550680
Tiempo minimo: 0.546600, Tiempo promedio: 0.550648
Tiempo minimo: 0.543961, Tiempo promedio: 0.547811
Tiempo minimo: 0.544217, Tiempo promedio: 0.549110
Tiempo minimo: 0.547011, Tiempo promedio: 0.549489
Tiempo minimo: 0.549302, Tiempo promedio: 0.570312
Tiempo minimo: 0.557399, Tiempo promedio: 0.559750
Tiempo minimo: 0.556340, Tiempo promedio: 0.560077
Tiempo minimo: 0.557868, Tiempo promedio: 0.560440
Tiempo minimo: 0.558929, Tiempo promedio: 0.561178
Tiempo minimo: 0.560277, Tiempo promedio: 0.562242
Tiempo minimo: 0.559996, Tiempo promedio: 0.562726
Tiempo minimo: 0.558306, Tiempo promedio: 0.560729
Tiempo minimo: 0.558535, Tiempo promedio: 0.560843
Tiempo minimo: 0.559072, Tiempo promedio: 0.560738
