100 instancias de tamaño n = 100 y k = 150 
Tiempo minimo: 0.825162, Tiempo promedio: 0.831191
Tiempo minimo: 0.828966, Tiempo promedio: 0.832875
Tiempo minimo: 0.827528, Tiempo promedio: 0.832611
Tiempo minimo: 0.823016, Tiempo promedio: 0.831031
Tiempo minimo: 0.827255, Tiempo promedio: 0.833395
Tiempo minimo: 0.828790, Tiempo promedio: 0.832702
Tiempo minimo: 0.827068, Tiempo promedio: 0.832791
Tiempo minimo: 0.830407, Tiempo promedio: 0.834424
Tiempo minimo: 0.828853, Tiempo promedio: 0.833692
Tiempo minimo: 0.823859, Tiempo promedio: 0.830301
Tiempo minimo: 0.824991, Tiempo promedio: 0.829384
Tiempo minimo: 0.826239, Tiempo promedio: 0.829656
Tiempo minimo: 0.822159, Tiempo promedio: 0.826980
Tiempo minimo: 0.825278, Tiempo promedio: 0.830835
Tiempo minimo: 0.825567, Tiempo promedio: 0.828148
Tiempo minimo: 0.827908, Tiempo promedio: 0.830704
Tiempo minimo: 0.825117, Tiempo promedio: 0.829526
Tiempo minimo: 0.825918, Tiempo promedio: 0.830117
Tiempo minimo: 0.824257, Tiempo promedio: 0.829393
Tiempo minimo: 0.826177, Tiempo promedio: 0.831164
Tiempo minimo: 0.827988, Tiempo promedio: 0.831068
Tiempo minimo: 0.826416, Tiempo promedio: 0.831252
Tiempo minimo: 0.821599, Tiempo promedio: 0.825634
Tiempo minimo: 0.822274, Tiempo promedio: 0.827281
Tiempo minimo: 0.824632, Tiempo promedio: 0.829511
Tiempo minimo: 0.825466, Tiempo promedio: 0.829090
Tiempo minimo: 0.824422, Tiempo promedio: 0.830402
Tiempo minimo: 0.824686, Tiempo promedio: 0.829158
Tiempo minimo: 0.824135, Tiempo promedio: 0.829423
Tiempo minimo: 0.826126, Tiempo promedio: 0.829436
Tiempo minimo: 0.826298, Tiempo promedio: 0.831601
Tiempo minimo: 0.824237, Tiempo promedio: 0.831498
Tiempo minimo: 0.829515, Tiempo promedio: 0.834036
Tiempo minimo: 0.829521, Tiempo promedio: 0.832678
Tiempo minimo: 0.826483, Tiempo promedio: 0.832689
Tiempo minimo: 0.824943, Tiempo promedio: 0.833083
Tiempo minimo: 0.824343, Tiempo promedio: 0.829251
Tiempo minimo: 0.824774, Tiempo promedio: 0.828182
Tiempo minimo: 0.820427, Tiempo promedio: 0.827547
Tiempo minimo: 0.824486, Tiempo promedio: 0.827167
Tiempo minimo: 0.825770, Tiempo promedio: 0.830437
Tiempo minimo: 0.827087, Tiempo promedio: 0.831662
Tiempo minimo: 0.827597, Tiempo promedio: 0.830502
Tiempo minimo: 0.821569, Tiempo promedio: 0.826164
Tiempo minimo: 0.823108, Tiempo promedio: 0.826393
Tiempo minimo: 0.824044, Tiempo promedio: 0.829562
Tiempo minimo: 0.825126, Tiempo promedio: 0.830845
Tiempo minimo: 0.820429, Tiempo promedio: 0.827223
Tiempo minimo: 0.823739, Tiempo promedio: 0.831089
Tiempo minimo: 0.826729, Tiempo promedio: 0.831890
Tiempo minimo: 0.829356, Tiempo promedio: 0.833662
Tiempo minimo: 0.824454, Tiempo promedio: 0.828985
Tiempo minimo: 0.829051, Tiempo promedio: 0.833626
Tiempo minimo: 0.824544, Tiempo promedio: 0.829394
Tiempo minimo: 0.826211, Tiempo promedio: 0.830910
Tiempo minimo: 0.826651, Tiempo promedio: 0.830600
Tiempo minimo: 0.824678, Tiempo promedio: 0.829982
Tiempo minimo: 0.826629, Tiempo promedio: 0.831034
Tiempo minimo: 0.826340, Tiempo promedio: 0.829280
Tiempo minimo: 0.828146, Tiempo promedio: 0.831223
Tiempo minimo: 0.824997, Tiempo promedio: 0.832486
Tiempo minimo: 0.826870, Tiempo promedio: 0.832608
Tiempo minimo: 0.824128, Tiempo promedio: 0.829312
Tiempo minimo: 0.827945, Tiempo promedio: 0.831938
