50 instancias de tamaño n = 1100 y k = 10 
Tiempo minimo: 6.892207, Tiempo promedio: 6.917148
Tiempo minimo: 6.868366, Tiempo promedio: 6.887961
Tiempo minimo: 6.924533, Tiempo promedio: 6.940575
Tiempo minimo: 6.866345, Tiempo promedio: 6.892812
Tiempo minimo: 6.898379, Tiempo promedio: 6.918315
Tiempo minimo: 6.862304, Tiempo promedio: 6.879271
Tiempo minimo: 6.866011, Tiempo promedio: 6.883869
Tiempo minimo: 6.879680, Tiempo promedio: 6.895234
Tiempo minimo: 6.860701, Tiempo promedio: 6.883110
Tiempo minimo: 6.898653, Tiempo promedio: 6.923696
Tiempo minimo: 6.881163, Tiempo promedio: 6.906344
Tiempo minimo: 6.867333, Tiempo promedio: 6.883134
Tiempo minimo: 6.878948, Tiempo promedio: 6.897306
Tiempo minimo: 6.908231, Tiempo promedio: 6.925543
Tiempo minimo: 6.876760, Tiempo promedio: 6.890757
Tiempo minimo: 6.897175, Tiempo promedio: 6.914175
Tiempo minimo: 6.880438, Tiempo promedio: 6.894274
Tiempo minimo: 6.881860, Tiempo promedio: 6.901305
Tiempo minimo: 6.888165, Tiempo promedio: 6.906843
Tiempo minimo: 6.908133, Tiempo promedio: 6.927058
Tiempo minimo: 6.860041, Tiempo promedio: 6.887747
Tiempo minimo: 6.882496, Tiempo promedio: 6.908450
Tiempo minimo: 6.895138, Tiempo promedio: 6.909062
Tiempo minimo: 6.865911, Tiempo promedio: 6.889312
Tiempo minimo: 6.857933, Tiempo promedio: 6.877067
Tiempo minimo: 6.893543, Tiempo promedio: 6.908566
Tiempo minimo: 6.906574, Tiempo promedio: 6.921997
Tiempo minimo: 6.909219, Tiempo promedio: 6.933583
Tiempo minimo: 6.857672, Tiempo promedio: 6.873449
Tiempo minimo: 6.927392, Tiempo promedio: 6.942432
Tiempo minimo: 6.875495, Tiempo promedio: 6.892519
Tiempo minimo: 6.907572, Tiempo promedio: 6.921615
Tiempo minimo: 6.901525, Tiempo promedio: 6.928748
Tiempo minimo: 6.907637, Tiempo promedio: 6.925982
Tiempo minimo: 6.881889, Tiempo promedio: 6.894608
Tiempo minimo: 6.881311, Tiempo promedio: 6.894298
Tiempo minimo: 6.863200, Tiempo promedio: 6.882272
Tiempo minimo: 6.879154, Tiempo promedio: 6.896589
Tiempo minimo: 6.868605, Tiempo promedio: 6.883409
Tiempo minimo: 6.868453, Tiempo promedio: 6.893665
Tiempo minimo: 6.883430, Tiempo promedio: 6.897841
Tiempo minimo: 6.869003, Tiempo promedio: 6.894058
Tiempo minimo: 6.914175, Tiempo promedio: 6.937569
Tiempo minimo: 6.880845, Tiempo promedio: 6.902686
Tiempo minimo: 6.872531, Tiempo promedio: 6.886832
Tiempo minimo: 6.903296, Tiempo promedio: 6.920754
Tiempo minimo: 6.869003, Tiempo promedio: 6.886306
Tiempo minimo: 6.853085, Tiempo promedio: 6.884597
Tiempo minimo: 6.870210, Tiempo promedio: 6.899898
Tiempo minimo: 6.828579, Tiempo promedio: 6.850962
Promedio de tiempos minimos: 6.882406
