100 instancias de tamaño n = 100 y k = 130 
Tiempo minimo: 0.718227, Tiempo promedio: 0.720967
Tiempo minimo: 0.714613, Tiempo promedio: 0.718918
Tiempo minimo: 0.712864, Tiempo promedio: 0.718188
Tiempo minimo: 0.716035, Tiempo promedio: 0.719936
Tiempo minimo: 0.717873, Tiempo promedio: 0.720851
Tiempo minimo: 0.714593, Tiempo promedio: 0.718703
Tiempo minimo: 0.716252, Tiempo promedio: 0.719157
Tiempo minimo: 0.714256, Tiempo promedio: 0.718554
Tiempo minimo: 0.713573, Tiempo promedio: 0.718620
Tiempo minimo: 0.714227, Tiempo promedio: 0.718218
Tiempo minimo: 0.719583, Tiempo promedio: 0.723233
Tiempo minimo: 0.720382, Tiempo promedio: 0.723878
Tiempo minimo: 0.719696, Tiempo promedio: 0.725247
Tiempo minimo: 0.716189, Tiempo promedio: 0.721255
Tiempo minimo: 0.716618, Tiempo promedio: 0.721602
Tiempo minimo: 0.714832, Tiempo promedio: 0.721741
Tiempo minimo: 0.716170, Tiempo promedio: 0.719768
Tiempo minimo: 0.715400, Tiempo promedio: 0.718026
Tiempo minimo: 0.715914, Tiempo promedio: 0.719473
Tiempo minimo: 0.715098, Tiempo promedio: 0.719916
Tiempo minimo: 0.714216, Tiempo promedio: 0.718852
Tiempo minimo: 0.715721, Tiempo promedio: 0.718370
Tiempo minimo: 0.713306, Tiempo promedio: 0.715792
Tiempo minimo: 0.711843, Tiempo promedio: 0.717150
Tiempo minimo: 0.714637, Tiempo promedio: 0.717677
Tiempo minimo: 0.712243, Tiempo promedio: 0.715420
Tiempo minimo: 0.717719, Tiempo promedio: 0.721038
Tiempo minimo: 0.717410, Tiempo promedio: 0.721179
Tiempo minimo: 0.717663, Tiempo promedio: 0.723386
Tiempo minimo: 0.717332, Tiempo promedio: 0.722083
Tiempo minimo: 0.716796, Tiempo promedio: 0.720379
Tiempo minimo: 0.716704, Tiempo promedio: 0.719345
Tiempo minimo: 0.713691, Tiempo promedio: 0.717417
Tiempo minimo: 0.712980, Tiempo promedio: 0.718031
Tiempo minimo: 0.712217, Tiempo promedio: 0.717100
Tiempo minimo: 0.712893, Tiempo promedio: 0.716772
Tiempo minimo: 0.715120, Tiempo promedio: 0.718451
Tiempo minimo: 0.712027, Tiempo promedio: 0.716555
Tiempo minimo: 0.714108, Tiempo promedio: 0.718341
Tiempo minimo: 0.713481, Tiempo promedio: 0.716990
Tiempo minimo: 0.712677, Tiempo promedio: 0.715082
Tiempo minimo: 0.712326, Tiempo promedio: 0.715777
Tiempo minimo: 0.713886, Tiempo promedio: 0.718793
Tiempo minimo: 0.717993, Tiempo promedio: 0.721559
Tiempo minimo: 0.711800, Tiempo promedio: 0.716298
Tiempo minimo: 0.713841, Tiempo promedio: 0.718193
Tiempo minimo: 0.712876, Tiempo promedio: 0.718048
Tiempo minimo: 0.714389, Tiempo promedio: 0.718975
Tiempo minimo: 0.714274, Tiempo promedio: 0.720021
Tiempo minimo: 0.713358, Tiempo promedio: 0.718005
Tiempo minimo: 0.713312, Tiempo promedio: 0.715270
Tiempo minimo: 0.713129, Tiempo promedio: 0.716464
Tiempo minimo: 0.713132, Tiempo promedio: 0.718460
Tiempo minimo: 0.713356, Tiempo promedio: 0.717712
Tiempo minimo: 0.713068, Tiempo promedio: 0.717215
Tiempo minimo: 0.713656, Tiempo promedio: 0.716733
Tiempo minimo: 0.712039, Tiempo promedio: 0.716919
Tiempo minimo: 0.713230, Tiempo promedio: 0.716266
Tiempo minimo: 0.712525, Tiempo promedio: 0.717312
Tiempo minimo: 0.713447, Tiempo promedio: 0.720227
Tiempo minimo: 0.717909, Tiempo promedio: 0.721496
Tiempo minimo: 0.717241, Tiempo promedio: 0.720888
Tiempo minimo: 0.713976, Tiempo promedio: 0.719855
Tiempo minimo: 0.716459, Tiempo promedio: 0.719762
Tiempo minimo: 0.717356, Tiempo promedio: 0.722898
Tiempo minimo: 0.715613, Tiempo promedio: 0.721193
Tiempo minimo: 0.716847, Tiempo promedio: 0.719791
Tiempo minimo: 0.715438, Tiempo promedio: 0.719367
Tiempo minimo: 0.713171, Tiempo promedio: 0.719160
Tiempo minimo: 0.712219, Tiempo promedio: 0.716817
Tiempo minimo: 0.711423, Tiempo promedio: 0.715551
Tiempo minimo: 0.712782, Tiempo promedio: 0.717649
Tiempo minimo: 0.711412, Tiempo promedio: 0.715684
Tiempo minimo: 0.712098, Tiempo promedio: 0.717153
Tiempo minimo: 0.715562, Tiempo promedio: 0.719182
Tiempo minimo: 0.713193, Tiempo promedio: 0.717181
Tiempo minimo: 0.716716, Tiempo promedio: 0.719733
Tiempo minimo: 0.716814, Tiempo promedio: 0.722723
Tiempo minimo: 0.714768, Tiempo promedio: 0.719524
Tiempo minimo: 0.716478, Tiempo promedio: 0.721082
Tiempo minimo: 0.714889, Tiempo promedio: 0.719631
Tiempo minimo: 0.716206, Tiempo promedio: 0.720912
Tiempo minimo: 0.715007, Tiempo promedio: 0.717888
Tiempo minimo: 0.712576, Tiempo promedio: 0.716073
Tiempo minimo: 0.712259, Tiempo promedio: 0.716725
Tiempo minimo: 0.716865, Tiempo promedio: 0.719659
Tiempo minimo: 0.714098, Tiempo promedio: 0.719124
Tiempo minimo: 0.713474, Tiempo promedio: 0.716901
Tiempo minimo: 0.710191, Tiempo promedio: 0.715832
Tiempo minimo: 0.710104, Tiempo promedio: 0.714018
Tiempo minimo: 0.711607, Tiempo promedio: 0.717426
Tiempo minimo: 0.714188, Tiempo promedio: 0.718406
Tiempo minimo: 0.712169, Tiempo promedio: 0.716651
Tiempo minimo: 0.718735, Tiempo promedio: 0.720966
Tiempo minimo: 0.716152, Tiempo promedio: 0.722584
Tiempo minimo: 0.717780, Tiempo promedio: 0.721403
Tiempo minimo: 0.713897, Tiempo promedio: 0.718331
Tiempo minimo: 0.716503, Tiempo promedio: 0.719782
Tiempo minimo: 0.713173, Tiempo promedio: 0.717256
Tiempo minimo: 0.710957, Tiempo promedio: 0.716379
Promedio de tiempos minimos: 0.714611
