100 instancias de tamaño n = 400 y k = 10 
Tiempo minimo: 0.893432, Tiempo promedio: 0.898256
Tiempo minimo: 0.884429, Tiempo promedio: 0.887636
Tiempo minimo: 0.890948, Tiempo promedio: 0.894632
Tiempo minimo: 0.893374, Tiempo promedio: 0.896904
Tiempo minimo: 0.889615, Tiempo promedio: 0.893233
Tiempo minimo: 0.889122, Tiempo promedio: 0.894137
Tiempo minimo: 0.885584, Tiempo promedio: 0.891964
Tiempo minimo: 0.893910, Tiempo promedio: 0.896900
Tiempo minimo: 0.891232, Tiempo promedio: 0.895057
Tiempo minimo: 0.892137, Tiempo promedio: 0.894707
Tiempo minimo: 0.885581, Tiempo promedio: 0.890111
Tiempo minimo: 0.884102, Tiempo promedio: 0.887505
Tiempo minimo: 0.892787, Tiempo promedio: 0.897911
Tiempo minimo: 0.889356, Tiempo promedio: 0.892484
Tiempo minimo: 0.889911, Tiempo promedio: 0.893921
Tiempo minimo: 0.885812, Tiempo promedio: 0.888859
Tiempo minimo: 0.888670, Tiempo promedio: 0.892297
Tiempo minimo: 0.881931, Tiempo promedio: 0.886056
Tiempo minimo: 0.881847, Tiempo promedio: 0.885718
Tiempo minimo: 0.885298, Tiempo promedio: 0.889342
Tiempo minimo: 0.883741, Tiempo promedio: 0.886398
Tiempo minimo: 0.885853, Tiempo promedio: 0.891143
Tiempo minimo: 0.883899, Tiempo promedio: 0.889142
Tiempo minimo: 0.885367, Tiempo promedio: 0.890274
Tiempo minimo: 0.889018, Tiempo promedio: 0.891306
Tiempo minimo: 0.884231, Tiempo promedio: 0.887118
Tiempo minimo: 0.886023, Tiempo promedio: 0.889649
Tiempo minimo: 0.884224, Tiempo promedio: 0.888505
Tiempo minimo: 0.883552, Tiempo promedio: 0.887427
Tiempo minimo: 0.889108, Tiempo promedio: 0.892179
Tiempo minimo: 0.889894, Tiempo promedio: 0.893812
Tiempo minimo: 0.886981, Tiempo promedio: 0.890231
Tiempo minimo: 0.890447, Tiempo promedio: 0.895559
Tiempo minimo: 0.891249, Tiempo promedio: 0.894636
Tiempo minimo: 0.885462, Tiempo promedio: 0.888712
Tiempo minimo: 0.894683, Tiempo promedio: 0.898455
Tiempo minimo: 0.892762, Tiempo promedio: 0.896879
Tiempo minimo: 0.889411, Tiempo promedio: 0.893208
Tiempo minimo: 0.883391, Tiempo promedio: 0.887948
Tiempo minimo: 0.880476, Tiempo promedio: 0.885027
Tiempo minimo: 0.880415, Tiempo promedio: 0.884054
Tiempo minimo: 0.886219, Tiempo promedio: 0.890247
Tiempo minimo: 0.885063, Tiempo promedio: 0.888234
Tiempo minimo: 0.892820, Tiempo promedio: 0.895774
Tiempo minimo: 0.891563, Tiempo promedio: 0.895659
Tiempo minimo: 0.883292, Tiempo promedio: 0.888332
Tiempo minimo: 0.884971, Tiempo promedio: 0.889458
Tiempo minimo: 0.885209, Tiempo promedio: 0.889552
Tiempo minimo: 0.888219, Tiempo promedio: 0.895165
Tiempo minimo: 0.890234, Tiempo promedio: 0.892873
Tiempo minimo: 0.892144, Tiempo promedio: 0.895315
Tiempo minimo: 0.888753, Tiempo promedio: 0.892153
Tiempo minimo: 0.893741, Tiempo promedio: 0.896145
Tiempo minimo: 0.891064, Tiempo promedio: 0.896756
Tiempo minimo: 0.890037, Tiempo promedio: 0.893628
Tiempo minimo: 0.889735, Tiempo promedio: 0.892760
Tiempo minimo: 0.886566, Tiempo promedio: 0.891654
Tiempo minimo: 0.885269, Tiempo promedio: 0.891191
Tiempo minimo: 0.891251, Tiempo promedio: 0.894058
Tiempo minimo: 0.887858, Tiempo promedio: 0.895955
Tiempo minimo: 0.892801, Tiempo promedio: 0.896712
Tiempo minimo: 0.891327, Tiempo promedio: 0.894117
Tiempo minimo: 0.887503, Tiempo promedio: 0.893143
Tiempo minimo: 0.893786, Tiempo promedio: 0.897756
Tiempo minimo: 0.896581, Tiempo promedio: 0.899575
Tiempo minimo: 0.894937, Tiempo promedio: 0.897380
Tiempo minimo: 0.895371, Tiempo promedio: 0.899192
Tiempo minimo: 0.893503, Tiempo promedio: 0.896945
Tiempo minimo: 0.893279, Tiempo promedio: 0.898322
Tiempo minimo: 0.888549, Tiempo promedio: 0.893055
Tiempo minimo: 0.890933, Tiempo promedio: 0.894422
Tiempo minimo: 0.894423, Tiempo promedio: 0.898193
Tiempo minimo: 0.889095, Tiempo promedio: 0.892400
Tiempo minimo: 0.892281, Tiempo promedio: 0.895013
Tiempo minimo: 0.888352, Tiempo promedio: 0.892151
Tiempo minimo: 0.893639, Tiempo promedio: 0.896537
Tiempo minimo: 0.896442, Tiempo promedio: 0.900894
Tiempo minimo: 0.889665, Tiempo promedio: 0.895052
Tiempo minimo: 0.896295, Tiempo promedio: 0.900090
Tiempo minimo: 0.892403, Tiempo promedio: 0.896823
Tiempo minimo: 0.889415, Tiempo promedio: 0.894169
Tiempo minimo: 0.891602, Tiempo promedio: 0.895272
Tiempo minimo: 0.891481, Tiempo promedio: 0.893766
Tiempo minimo: 0.891613, Tiempo promedio: 0.894586
Tiempo minimo: 0.893662, Tiempo promedio: 0.897233
Tiempo minimo: 0.890451, Tiempo promedio: 0.894638
Tiempo minimo: 0.894301, Tiempo promedio: 0.897615
Tiempo minimo: 0.892733, Tiempo promedio: 0.895787
Tiempo minimo: 0.887603, Tiempo promedio: 0.892353
Tiempo minimo: 0.894573, Tiempo promedio: 0.897634
Tiempo minimo: 0.892080, Tiempo promedio: 0.896155
Tiempo minimo: 0.884045, Tiempo promedio: 0.888062
Tiempo minimo: 0.895373, Tiempo promedio: 0.900367
Tiempo minimo: 0.888867, Tiempo promedio: 0.893340
Tiempo minimo: 0.892486, Tiempo promedio: 0.899988
Tiempo minimo: 0.898091, Tiempo promedio: 0.900260
Tiempo minimo: 0.892357, Tiempo promedio: 0.895062
Tiempo minimo: 0.888541, Tiempo promedio: 0.893276
Tiempo minimo: 0.892163, Tiempo promedio: 0.897480
Tiempo minimo: 0.894468, Tiempo promedio: 0.900365
Promedio de tiempos minimos: 0.889603
