50 instancias de tamaño n = 1200 y k = 10 
Tiempo minimo: 8.248461, Tiempo promedio: 8.274697
Tiempo minimo: 8.167277, Tiempo promedio: 8.192214
Tiempo minimo: 8.236962, Tiempo promedio: 8.251606
Tiempo minimo: 8.232980, Tiempo promedio: 8.250482
Tiempo minimo: 8.236074, Tiempo promedio: 8.255142
Tiempo minimo: 8.249533, Tiempo promedio: 8.264519
Tiempo minimo: 8.161561, Tiempo promedio: 8.192554
Tiempo minimo: 8.222205, Tiempo promedio: 8.244847
Tiempo minimo: 8.177613, Tiempo promedio: 8.200921
Tiempo minimo: 8.228731, Tiempo promedio: 8.255944
Tiempo minimo: 8.179818, Tiempo promedio: 8.194497
Tiempo minimo: 8.181460, Tiempo promedio: 8.206163
Tiempo minimo: 8.187546, Tiempo promedio: 8.207581
Tiempo minimo: 8.213025, Tiempo promedio: 8.230686
Tiempo minimo: 8.228764, Tiempo promedio: 8.245014
Tiempo minimo: 8.213856, Tiempo promedio: 8.228136
Tiempo minimo: 8.250048, Tiempo promedio: 8.281181
Tiempo minimo: 8.166660, Tiempo promedio: 8.191097
Tiempo minimo: 8.216498, Tiempo promedio: 8.233378
Tiempo minimo: 8.186069, Tiempo promedio: 8.197120
Tiempo minimo: 8.194183, Tiempo promedio: 8.219964
Tiempo minimo: 8.204229, Tiempo promedio: 8.225021
Tiempo minimo: 8.135518, Tiempo promedio: 8.157313
Tiempo minimo: 8.205891, Tiempo promedio: 8.222174
Tiempo minimo: 8.184148, Tiempo promedio: 8.213641
Tiempo minimo: 8.182752, Tiempo promedio: 8.205395
Tiempo minimo: 8.188957, Tiempo promedio: 8.211189
Tiempo minimo: 8.210027, Tiempo promedio: 8.228531
Tiempo minimo: 8.214708, Tiempo promedio: 8.238055
Tiempo minimo: 8.136911, Tiempo promedio: 8.173683
Tiempo minimo: 8.235171, Tiempo promedio: 8.253528
Tiempo minimo: 8.194222, Tiempo promedio: 8.216533
Tiempo minimo: 8.162937, Tiempo promedio: 8.178656
Tiempo minimo: 8.169976, Tiempo promedio: 8.193265
Tiempo minimo: 8.178385, Tiempo promedio: 8.262670
Tiempo minimo: 8.247397, Tiempo promedio: 8.271606
Tiempo minimo: 8.182409, Tiempo promedio: 8.197243
Tiempo minimo: 8.170534, Tiempo promedio: 8.184955
Tiempo minimo: 8.212696, Tiempo promedio: 8.227951
Tiempo minimo: 8.139512, Tiempo promedio: 8.164664
Tiempo minimo: 8.181683, Tiempo promedio: 8.214074
Tiempo minimo: 8.188223, Tiempo promedio: 8.201867
Tiempo minimo: 8.115919, Tiempo promedio: 8.145872
Tiempo minimo: 8.206005, Tiempo promedio: 8.222829
Tiempo minimo: 8.152086, Tiempo promedio: 8.179414
Tiempo minimo: 8.199330, Tiempo promedio: 8.217554
Tiempo minimo: 8.154412, Tiempo promedio: 8.192177
Tiempo minimo: 8.136791, Tiempo promedio: 8.158016
Tiempo minimo: 8.152491, Tiempo promedio: 8.172485
Tiempo minimo: 8.168918, Tiempo promedio: 8.186466
Promedio de tiempos minimos: 8.191831
