100 instancias de tamaño n = 100 y k = 30 
Tiempo minimo: 0.162414, Tiempo promedio: 0.163894
Tiempo minimo: 0.162778, Tiempo promedio: 0.163532
Tiempo minimo: 0.163023, Tiempo promedio: 0.163977
Tiempo minimo: 0.163037, Tiempo promedio: 0.164001
Tiempo minimo: 0.162798, Tiempo promedio: 0.163633
Tiempo minimo: 0.162895, Tiempo promedio: 0.163859
Tiempo minimo: 0.162955, Tiempo promedio: 0.163681
Tiempo minimo: 0.162450, Tiempo promedio: 0.163469
Tiempo minimo: 0.162057, Tiempo promedio: 0.162844
Tiempo minimo: 0.162992, Tiempo promedio: 0.164110
Tiempo minimo: 0.162603, Tiempo promedio: 0.163364
Tiempo minimo: 0.162827, Tiempo promedio: 0.163752
Tiempo minimo: 0.162831, Tiempo promedio: 0.163682
Tiempo minimo: 0.162919, Tiempo promedio: 0.163827
Tiempo minimo: 0.162808, Tiempo promedio: 0.164006
Tiempo minimo: 0.163218, Tiempo promedio: 0.164138
Tiempo minimo: 0.162811, Tiempo promedio: 0.163673
Tiempo minimo: 0.162848, Tiempo promedio: 0.163867
Tiempo minimo: 0.162283, Tiempo promedio: 0.163188
Tiempo minimo: 0.163306, Tiempo promedio: 0.164268
Tiempo minimo: 0.162803, Tiempo promedio: 0.163924
Tiempo minimo: 0.163041, Tiempo promedio: 0.164042
Tiempo minimo: 0.162781, Tiempo promedio: 0.163852
Tiempo minimo: 0.163036, Tiempo promedio: 0.163991
Tiempo minimo: 0.162772, Tiempo promedio: 0.163552
Tiempo minimo: 0.162628, Tiempo promedio: 0.163696
Tiempo minimo: 0.163306, Tiempo promedio: 0.164331
Tiempo minimo: 0.163099, Tiempo promedio: 0.164226
Tiempo minimo: 0.163145, Tiempo promedio: 0.164216
Tiempo minimo: 0.162793, Tiempo promedio: 0.164111
Tiempo minimo: 0.162445, Tiempo promedio: 0.163441
Tiempo minimo: 0.162721, Tiempo promedio: 0.163846
Tiempo minimo: 0.162774, Tiempo promedio: 0.163863
Tiempo minimo: 0.162878, Tiempo promedio: 0.164023
Tiempo minimo: 0.162781, Tiempo promedio: 0.163922
Tiempo minimo: 0.163081, Tiempo promedio: 0.164000
Tiempo minimo: 0.162893, Tiempo promedio: 0.164044
Tiempo minimo: 0.162776, Tiempo promedio: 0.163791
Tiempo minimo: 0.162755, Tiempo promedio: 0.163908
Tiempo minimo: 0.162880, Tiempo promedio: 0.164134
Tiempo minimo: 0.162791, Tiempo promedio: 0.163822
Tiempo minimo: 0.163085, Tiempo promedio: 0.164021
Tiempo minimo: 0.162555, Tiempo promedio: 0.163430
Tiempo minimo: 0.162831, Tiempo promedio: 0.163810
Tiempo minimo: 0.163016, Tiempo promedio: 0.163977
Tiempo minimo: 0.162917, Tiempo promedio: 0.163896
Tiempo minimo: 0.162914, Tiempo promedio: 0.163803
Tiempo minimo: 0.162941, Tiempo promedio: 0.164064
Tiempo minimo: 0.162850, Tiempo promedio: 0.163655
Tiempo minimo: 0.162707, Tiempo promedio: 0.163409
Tiempo minimo: 0.162799, Tiempo promedio: 0.163650
Tiempo minimo: 0.162434, Tiempo promedio: 0.163373
Tiempo minimo: 0.162757, Tiempo promedio: 0.163702
Tiempo minimo: 0.162927, Tiempo promedio: 0.163886
Tiempo minimo: 0.162883, Tiempo promedio: 0.163769
Tiempo minimo: 0.162484, Tiempo promedio: 0.163338
Tiempo minimo: 0.163001, Tiempo promedio: 0.163937
Tiempo minimo: 0.163419, Tiempo promedio: 0.164291
Tiempo minimo: 0.162744, Tiempo promedio: 0.163527
Tiempo minimo: 0.163004, Tiempo promedio: 0.163964
Tiempo minimo: 0.162516, Tiempo promedio: 0.163497
Tiempo minimo: 0.162762, Tiempo promedio: 0.163743
Tiempo minimo: 0.163135, Tiempo promedio: 0.164133
Tiempo minimo: 0.162496, Tiempo promedio: 0.163499
Tiempo minimo: 0.162104, Tiempo promedio: 0.163104
Tiempo minimo: 0.162982, Tiempo promedio: 0.163977
Tiempo minimo: 0.162692, Tiempo promedio: 0.163801
Tiempo minimo: 0.163004, Tiempo promedio: 0.163945
Tiempo minimo: 0.162552, Tiempo promedio: 0.163502
Tiempo minimo: 0.163170, Tiempo promedio: 0.164199
Tiempo minimo: 0.162803, Tiempo promedio: 0.163710
Tiempo minimo: 0.163068, Tiempo promedio: 0.164098
