100 instancias de tamaño n = 100 y k = 70 
Tiempo minimo: 0.387995, Tiempo promedio: 0.393211
Tiempo minimo: 0.390020, Tiempo promedio: 0.394582
Tiempo minimo: 0.389260, Tiempo promedio: 0.392303
Tiempo minimo: 0.387585, Tiempo promedio: 0.390352
Tiempo minimo: 0.387850, Tiempo promedio: 0.390464
Tiempo minimo: 0.387896, Tiempo promedio: 0.390384
Tiempo minimo: 0.386781, Tiempo promedio: 0.390227
Tiempo minimo: 0.389907, Tiempo promedio: 0.392238
Tiempo minimo: 0.383742, Tiempo promedio: 0.395744
Tiempo minimo: 0.388982, Tiempo promedio: 0.392088
Tiempo minimo: 0.387270, Tiempo promedio: 0.389536
Tiempo minimo: 0.388227, Tiempo promedio: 0.390224
Tiempo minimo: 0.388711, Tiempo promedio: 0.390535
Tiempo minimo: 0.387399, Tiempo promedio: 0.389507
Tiempo minimo: 0.388094, Tiempo promedio: 0.389768
Tiempo minimo: 0.387526, Tiempo promedio: 0.389813
Tiempo minimo: 0.387019, Tiempo promedio: 0.389192
Tiempo minimo: 0.389221, Tiempo promedio: 0.390772
Tiempo minimo: 0.385687, Tiempo promedio: 0.388169
Tiempo minimo: 0.386271, Tiempo promedio: 0.388428
Tiempo minimo: 0.387732, Tiempo promedio: 0.389666
Tiempo minimo: 0.386443, Tiempo promedio: 0.388974
Tiempo minimo: 0.386640, Tiempo promedio: 0.389385
Tiempo minimo: 0.386759, Tiempo promedio: 0.390063
Tiempo minimo: 0.387198, Tiempo promedio: 0.389245
Tiempo minimo: 0.387511, Tiempo promedio: 0.390166
Tiempo minimo: 0.387366, Tiempo promedio: 0.390294
Tiempo minimo: 0.388986, Tiempo promedio: 0.391025
Tiempo minimo: 0.388334, Tiempo promedio: 0.390433
Tiempo minimo: 0.387779, Tiempo promedio: 0.390262
Tiempo minimo: 0.387933, Tiempo promedio: 0.390134
Tiempo minimo: 0.386765, Tiempo promedio: 0.391002
Tiempo minimo: 0.388469, Tiempo promedio: 0.390704
Tiempo minimo: 0.387149, Tiempo promedio: 0.391043
Tiempo minimo: 0.387863, Tiempo promedio: 0.389590
Tiempo minimo: 0.386701, Tiempo promedio: 0.390089
Tiempo minimo: 0.389013, Tiempo promedio: 0.391054
Tiempo minimo: 0.387645, Tiempo promedio: 0.390307
Tiempo minimo: 0.390141, Tiempo promedio: 0.392039
Tiempo minimo: 0.387991, Tiempo promedio: 0.390696
Tiempo minimo: 0.386290, Tiempo promedio: 0.389246
Tiempo minimo: 0.385817, Tiempo promedio: 0.387884
Tiempo minimo: 0.386299, Tiempo promedio: 0.388745
Tiempo minimo: 0.388174, Tiempo promedio: 0.390538
Tiempo minimo: 0.387052, Tiempo promedio: 0.389044
Tiempo minimo: 0.387371, Tiempo promedio: 0.389703
Tiempo minimo: 0.386857, Tiempo promedio: 0.389026
Tiempo minimo: 0.386432, Tiempo promedio: 0.388859
Tiempo minimo: 0.388204, Tiempo promedio: 0.389841
Tiempo minimo: 0.387273, Tiempo promedio: 0.388898
Tiempo minimo: 0.387763, Tiempo promedio: 0.389585
Tiempo minimo: 0.386267, Tiempo promedio: 0.388954
Tiempo minimo: 0.386333, Tiempo promedio: 0.388404
Tiempo minimo: 0.387433, Tiempo promedio: 0.389646
Tiempo minimo: 0.387817, Tiempo promedio: 0.389667
Tiempo minimo: 0.386552, Tiempo promedio: 0.388722
Tiempo minimo: 0.387200, Tiempo promedio: 0.390007
Tiempo minimo: 0.387337, Tiempo promedio: 0.389910
Tiempo minimo: 0.388029, Tiempo promedio: 0.390205
Tiempo minimo: 0.388409, Tiempo promedio: 0.391690
