100 instancias de tamaño n = 100 y k = 50 
Tiempo minimo: 0.272277, Tiempo promedio: 0.274555
Tiempo minimo: 0.271221, Tiempo promedio: 0.273261
Tiempo minimo: 0.271501, Tiempo promedio: 0.273781
Tiempo minimo: 0.271571, Tiempo promedio: 0.273079
Tiempo minimo: 0.271988, Tiempo promedio: 0.273505
Tiempo minimo: 0.271539, Tiempo promedio: 0.272781
Tiempo minimo: 0.271699, Tiempo promedio: 0.273365
Tiempo minimo: 0.271504, Tiempo promedio: 0.273262
Tiempo minimo: 0.271907, Tiempo promedio: 0.273126
Tiempo minimo: 0.271698, Tiempo promedio: 0.273377
Tiempo minimo: 0.270928, Tiempo promedio: 0.272581
Tiempo minimo: 0.272026, Tiempo promedio: 0.273300
Tiempo minimo: 0.271669, Tiempo promedio: 0.272972
Tiempo minimo: 0.271191, Tiempo promedio: 0.272655
Tiempo minimo: 0.271521, Tiempo promedio: 0.273158
Tiempo minimo: 0.271455, Tiempo promedio: 0.273124
Tiempo minimo: 0.271986, Tiempo promedio: 0.273014
Tiempo minimo: 0.271242, Tiempo promedio: 0.272877
Tiempo minimo: 0.271390, Tiempo promedio: 0.272626
Tiempo minimo: 0.271722, Tiempo promedio: 0.273201
Tiempo minimo: 0.271512, Tiempo promedio: 0.272889
Tiempo minimo: 0.271325, Tiempo promedio: 0.272709
Tiempo minimo: 0.271553, Tiempo promedio: 0.272545
Tiempo minimo: 0.271103, Tiempo promedio: 0.272225
Tiempo minimo: 0.271454, Tiempo promedio: 0.272703
Tiempo minimo: 0.271428, Tiempo promedio: 0.272837
Tiempo minimo: 0.271980, Tiempo promedio: 0.273077
Tiempo minimo: 0.271696, Tiempo promedio: 0.272392
Tiempo minimo: 0.271465, Tiempo promedio: 0.272911
Tiempo minimo: 0.270994, Tiempo promedio: 0.272162
Tiempo minimo: 0.271258, Tiempo promedio: 0.272302
Tiempo minimo: 0.271423, Tiempo promedio: 0.272589
Tiempo minimo: 0.271316, Tiempo promedio: 0.272580
Tiempo minimo: 0.271986, Tiempo promedio: 0.272714
Tiempo minimo: 0.270953, Tiempo promedio: 0.272269
Tiempo minimo: 0.270506, Tiempo promedio: 0.271785
Tiempo minimo: 0.271209, Tiempo promedio: 0.272490
Tiempo minimo: 0.271361, Tiempo promedio: 0.272500
Tiempo minimo: 0.271739, Tiempo promedio: 0.273272
Tiempo minimo: 0.271205, Tiempo promedio: 0.272569
Tiempo minimo: 0.271794, Tiempo promedio: 0.273327
Tiempo minimo: 0.271460, Tiempo promedio: 0.272515
Tiempo minimo: 0.271645, Tiempo promedio: 0.272899
Tiempo minimo: 0.271052, Tiempo promedio: 0.272713
Tiempo minimo: 0.272287, Tiempo promedio: 0.273739
Tiempo minimo: 0.271354, Tiempo promedio: 0.272992
Tiempo minimo: 0.272010, Tiempo promedio: 0.273595
Tiempo minimo: 0.272123, Tiempo promedio: 0.273373
Tiempo minimo: 0.271316, Tiempo promedio: 0.272774
Tiempo minimo: 0.271789, Tiempo promedio: 0.273615
Tiempo minimo: 0.271825, Tiempo promedio: 0.273507
Tiempo minimo: 0.271632, Tiempo promedio: 0.273598
Tiempo minimo: 0.272447, Tiempo promedio: 0.273718
Tiempo minimo: 0.272109, Tiempo promedio: 0.273679
Tiempo minimo: 0.271478, Tiempo promedio: 0.273248
Tiempo minimo: 0.272096, Tiempo promedio: 0.273465
Tiempo minimo: 0.271237, Tiempo promedio: 0.273007
Tiempo minimo: 0.271631, Tiempo promedio: 0.273433
Tiempo minimo: 0.271769, Tiempo promedio: 0.273922
Tiempo minimo: 0.271593, Tiempo promedio: 0.273426
Tiempo minimo: 0.271506, Tiempo promedio: 0.273316
Tiempo minimo: 0.272232, Tiempo promedio: 0.273247
Tiempo minimo: 0.272199, Tiempo promedio: 0.273372
Tiempo minimo: 0.271693, Tiempo promedio: 0.272951
Tiempo minimo: 0.271976, Tiempo promedio: 0.273539
Tiempo minimo: 0.271937, Tiempo promedio: 0.273449
Tiempo minimo: 0.271683, Tiempo promedio: 0.273255
Tiempo minimo: 0.271636, Tiempo promedio: 0.272930
Tiempo minimo: 0.271261, Tiempo promedio: 0.272797
Tiempo minimo: 0.271523, Tiempo promedio: 0.273361
Tiempo minimo: 0.271456, Tiempo promedio: 0.272768
Tiempo minimo: 0.271799, Tiempo promedio: 0.273091
Tiempo minimo: 0.271213, Tiempo promedio: 0.272479
Tiempo minimo: 0.271222, Tiempo promedio: 0.272784
Tiempo minimo: 0.271289, Tiempo promedio: 0.272316
Tiempo minimo: 0.272036, Tiempo promedio: 0.273057
Tiempo minimo: 0.271838, Tiempo promedio: 0.272904
Tiempo minimo: 0.271722, Tiempo promedio: 0.273174
Tiempo minimo: 0.272258, Tiempo promedio: 0.273155
Tiempo minimo: 0.271595, Tiempo promedio: 0.272458
Tiempo minimo: 0.271522, Tiempo promedio: 0.273048
Tiempo minimo: 0.271827, Tiempo promedio: 0.273068
Tiempo minimo: 0.271763, Tiempo promedio: 0.273276
Tiempo minimo: 0.271555, Tiempo promedio: 0.272806
Tiempo minimo: 0.271288, Tiempo promedio: 0.272683
Tiempo minimo: 0.271751, Tiempo promedio: 0.273009
Tiempo minimo: 0.272206, Tiempo promedio: 0.273673
Tiempo minimo: 0.271252, Tiempo promedio: 0.273011
Tiempo minimo: 0.271792, Tiempo promedio: 0.273294
Tiempo minimo: 0.271267, Tiempo promedio: 0.273134
Tiempo minimo: 0.271029, Tiempo promedio: 0.272640
Tiempo minimo: 0.271880, Tiempo promedio: 0.273305
Tiempo minimo: 0.271432, Tiempo promedio: 0.273071
Tiempo minimo: 0.271136, Tiempo promedio: 0.272954
Tiempo minimo: 0.271955, Tiempo promedio: 0.273424
Tiempo minimo: 0.271160, Tiempo promedio: 0.272967
Tiempo minimo: 0.271235, Tiempo promedio: 0.272731
Tiempo minimo: 0.271469, Tiempo promedio: 0.272963
Tiempo minimo: 0.271891, Tiempo promedio: 0.273662
Tiempo minimo: 0.271810, Tiempo promedio: 0.273317
Promedio de tiempos minimos: 0.271594
