100 instancias de tamaño n = 300 y k = 10 
Tiempo minimo: 0.491879, Tiempo promedio: 0.494303
Tiempo minimo: 0.491823, Tiempo promedio: 0.494111
Tiempo minimo: 0.491872, Tiempo promedio: 0.494034
Tiempo minimo: 0.493876, Tiempo promedio: 0.495817
Tiempo minimo: 0.491216, Tiempo promedio: 0.494304
Tiempo minimo: 0.492979, Tiempo promedio: 0.495650
Tiempo minimo: 0.491999, Tiempo promedio: 0.494228
Tiempo minimo: 0.493443, Tiempo promedio: 0.496362
Tiempo minimo: 0.490648, Tiempo promedio: 0.492910
Tiempo minimo: 0.492026, Tiempo promedio: 0.494266
Tiempo minimo: 0.496269, Tiempo promedio: 0.498105
Tiempo minimo: 0.493107, Tiempo promedio: 0.495314
Tiempo minimo: 0.489992, Tiempo promedio: 0.492627
Tiempo minimo: 0.497199, Tiempo promedio: 0.499379
Tiempo minimo: 0.494809, Tiempo promedio: 0.497279
Tiempo minimo: 0.492225, Tiempo promedio: 0.494448
Tiempo minimo: 0.494938, Tiempo promedio: 0.497808
Tiempo minimo: 0.495341, Tiempo promedio: 0.498026
Tiempo minimo: 0.493860, Tiempo promedio: 0.496639
Tiempo minimo: 0.494038, Tiempo promedio: 0.497942
Tiempo minimo: 0.494744, Tiempo promedio: 0.496910
Tiempo minimo: 0.492633, Tiempo promedio: 0.496519
Tiempo minimo: 0.495531, Tiempo promedio: 0.498522
Tiempo minimo: 0.497139, Tiempo promedio: 0.498592
Tiempo minimo: 0.495948, Tiempo promedio: 0.497952
Tiempo minimo: 0.495100, Tiempo promedio: 0.497283
Tiempo minimo: 0.496424, Tiempo promedio: 0.499063
Tiempo minimo: 0.494220, Tiempo promedio: 0.496774
Tiempo minimo: 0.493488, Tiempo promedio: 0.495807
Tiempo minimo: 0.496376, Tiempo promedio: 0.499092
Tiempo minimo: 0.493744, Tiempo promedio: 0.495786
Tiempo minimo: 0.497106, Tiempo promedio: 0.499177
Tiempo minimo: 0.496631, Tiempo promedio: 0.499028
Tiempo minimo: 0.494569, Tiempo promedio: 0.498127
Tiempo minimo: 0.495982, Tiempo promedio: 0.497447
Tiempo minimo: 0.494131, Tiempo promedio: 0.497783
Tiempo minimo: 0.495904, Tiempo promedio: 0.498051
Tiempo minimo: 0.495535, Tiempo promedio: 0.498963
Tiempo minimo: 0.492649, Tiempo promedio: 0.494601
Tiempo minimo: 0.499084, Tiempo promedio: 0.500781
Tiempo minimo: 0.494196, Tiempo promedio: 0.496564
Tiempo minimo: 0.493596, Tiempo promedio: 0.496660
Tiempo minimo: 0.494558, Tiempo promedio: 0.497837
Tiempo minimo: 0.497006, Tiempo promedio: 0.499063
Tiempo minimo: 0.495495, Tiempo promedio: 0.497002
Tiempo minimo: 0.496190, Tiempo promedio: 0.498686
Tiempo minimo: 0.496169, Tiempo promedio: 0.498006
Tiempo minimo: 0.492607, Tiempo promedio: 0.495399
Tiempo minimo: 0.495496, Tiempo promedio: 0.497266
Tiempo minimo: 0.497148, Tiempo promedio: 0.499024
Tiempo minimo: 0.498784, Tiempo promedio: 0.501058
Tiempo minimo: 0.494612, Tiempo promedio: 0.497051
Tiempo minimo: 0.498697, Tiempo promedio: 0.500139
Tiempo minimo: 0.498193, Tiempo promedio: 0.500334
Tiempo minimo: 0.493628, Tiempo promedio: 0.494977
Tiempo minimo: 0.490654, Tiempo promedio: 0.493383
Tiempo minimo: 0.493657, Tiempo promedio: 0.496326
Tiempo minimo: 0.495440, Tiempo promedio: 0.497455
Tiempo minimo: 0.496660, Tiempo promedio: 0.499709
Tiempo minimo: 0.496524, Tiempo promedio: 0.499152
Tiempo minimo: 0.494227, Tiempo promedio: 0.496411
Tiempo minimo: 0.495919, Tiempo promedio: 0.498178
Tiempo minimo: 0.496098, Tiempo promedio: 0.498901
Tiempo minimo: 0.495428, Tiempo promedio: 0.498506
Tiempo minimo: 0.493051, Tiempo promedio: 0.497037
Tiempo minimo: 0.495317, Tiempo promedio: 0.497961
Tiempo minimo: 0.495527, Tiempo promedio: 0.499467
Tiempo minimo: 0.496601, Tiempo promedio: 0.499084
Tiempo minimo: 0.497212, Tiempo promedio: 0.498530
Tiempo minimo: 0.495903, Tiempo promedio: 0.498041
Tiempo minimo: 0.494588, Tiempo promedio: 0.497573
Tiempo minimo: 0.493663, Tiempo promedio: 0.497244
Tiempo minimo: 0.494879, Tiempo promedio: 0.497973
Tiempo minimo: 0.493489, Tiempo promedio: 0.496190
Tiempo minimo: 0.499348, Tiempo promedio: 0.502546
Tiempo minimo: 0.497760, Tiempo promedio: 0.500139
Tiempo minimo: 0.497642, Tiempo promedio: 0.499087
Tiempo minimo: 0.499184, Tiempo promedio: 0.501627
Tiempo minimo: 0.498044, Tiempo promedio: 0.500435
Tiempo minimo: 0.498886, Tiempo promedio: 0.502645
Tiempo minimo: 0.494497, Tiempo promedio: 0.498587
Tiempo minimo: 0.497374, Tiempo promedio: 0.499331
Tiempo minimo: 0.495518, Tiempo promedio: 0.498209
Tiempo minimo: 0.492637, Tiempo promedio: 0.495180
Tiempo minimo: 0.494914, Tiempo promedio: 0.496636
Tiempo minimo: 0.494519, Tiempo promedio: 0.497159
Tiempo minimo: 0.497030, Tiempo promedio: 0.499016
Tiempo minimo: 0.498735, Tiempo promedio: 0.501202
Tiempo minimo: 0.496184, Tiempo promedio: 0.498124
Tiempo minimo: 0.493793, Tiempo promedio: 0.497161
Tiempo minimo: 0.500759, Tiempo promedio: 0.503482
Tiempo minimo: 0.498306, Tiempo promedio: 0.500799
Tiempo minimo: 0.499630, Tiempo promedio: 0.502923
Tiempo minimo: 0.500396, Tiempo promedio: 0.503006
Tiempo minimo: 0.498881, Tiempo promedio: 0.501513
