100 instancias de tamaño n = 100 y k = 40 
Tiempo minimo: 0.218476, Tiempo promedio: 0.220587
Tiempo minimo: 0.216904, Tiempo promedio: 0.218740
Tiempo minimo: 0.217660, Tiempo promedio: 0.218878
Tiempo minimo: 0.217260, Tiempo promedio: 0.218366
Tiempo minimo: 0.217951, Tiempo promedio: 0.219394
Tiempo minimo: 0.216835, Tiempo promedio: 0.218199
Tiempo minimo: 0.216921, Tiempo promedio: 0.218308
Tiempo minimo: 0.217803, Tiempo promedio: 0.219132
Tiempo minimo: 0.217564, Tiempo promedio: 0.219545
Tiempo minimo: 0.217802, Tiempo promedio: 0.219436
Tiempo minimo: 0.217791, Tiempo promedio: 0.219520
Tiempo minimo: 0.217705, Tiempo promedio: 0.219026
Tiempo minimo: 0.217589, Tiempo promedio: 0.219015
Tiempo minimo: 0.218194, Tiempo promedio: 0.219626
Tiempo minimo: 0.216576, Tiempo promedio: 0.218761
Tiempo minimo: 0.217766, Tiempo promedio: 0.219141
Tiempo minimo: 0.217597, Tiempo promedio: 0.219057
Tiempo minimo: 0.216814, Tiempo promedio: 0.218106
Tiempo minimo: 0.217535, Tiempo promedio: 0.218700
Tiempo minimo: 0.217207, Tiempo promedio: 0.218156
Tiempo minimo: 0.217154, Tiempo promedio: 0.218129
Tiempo minimo: 0.216993, Tiempo promedio: 0.218085
Tiempo minimo: 0.217586, Tiempo promedio: 0.219287
Tiempo minimo: 0.217204, Tiempo promedio: 0.218182
Tiempo minimo: 0.217237, Tiempo promedio: 0.218788
Tiempo minimo: 0.217189, Tiempo promedio: 0.218843
Tiempo minimo: 0.217577, Tiempo promedio: 0.218737
Tiempo minimo: 0.218023, Tiempo promedio: 0.219624
Tiempo minimo: 0.217382, Tiempo promedio: 0.219010
Tiempo minimo: 0.217538, Tiempo promedio: 0.219522
Tiempo minimo: 0.217238, Tiempo promedio: 0.219073
Tiempo minimo: 0.217756, Tiempo promedio: 0.219594
Tiempo minimo: 0.218564, Tiempo promedio: 0.220039
Tiempo minimo: 0.217921, Tiempo promedio: 0.219691
Tiempo minimo: 0.217000, Tiempo promedio: 0.218058
Tiempo minimo: 0.217359, Tiempo promedio: 0.218605
Tiempo minimo: 0.217040, Tiempo promedio: 0.218182
Tiempo minimo: 0.218402, Tiempo promedio: 0.219714
Tiempo minimo: 0.216944, Tiempo promedio: 0.218734
Tiempo minimo: 0.217987, Tiempo promedio: 0.219508
Tiempo minimo: 0.217431, Tiempo promedio: 0.219683
Tiempo minimo: 0.218132, Tiempo promedio: 0.219969
Tiempo minimo: 0.217808, Tiempo promedio: 0.219309
Tiempo minimo: 0.217159, Tiempo promedio: 0.218889
Tiempo minimo: 0.217526, Tiempo promedio: 0.218981
Tiempo minimo: 0.217467, Tiempo promedio: 0.218844
Tiempo minimo: 0.218492, Tiempo promedio: 0.219918
Tiempo minimo: 0.217805, Tiempo promedio: 0.219662
Tiempo minimo: 0.217483, Tiempo promedio: 0.218976
Tiempo minimo: 0.217998, Tiempo promedio: 0.219450
Tiempo minimo: 0.217904, Tiempo promedio: 0.219911
Tiempo minimo: 0.218009, Tiempo promedio: 0.219652
Tiempo minimo: 0.217806, Tiempo promedio: 0.219902
Tiempo minimo: 0.217420, Tiempo promedio: 0.219501
Tiempo minimo: 0.218263, Tiempo promedio: 0.219987
Tiempo minimo: 0.218302, Tiempo promedio: 0.220146
Tiempo minimo: 0.218662, Tiempo promedio: 0.219882
Tiempo minimo: 0.217360, Tiempo promedio: 0.219221
Tiempo minimo: 0.217755, Tiempo promedio: 0.220119
Tiempo minimo: 0.217857, Tiempo promedio: 0.220193
Tiempo minimo: 0.218260, Tiempo promedio: 0.220476
Tiempo minimo: 0.217715, Tiempo promedio: 0.219777
Tiempo minimo: 0.217874, Tiempo promedio: 0.220238
Tiempo minimo: 0.218924, Tiempo promedio: 0.220883
Tiempo minimo: 0.218388, Tiempo promedio: 0.220571
Tiempo minimo: 0.219444, Tiempo promedio: 0.220977
Tiempo minimo: 0.217404, Tiempo promedio: 0.219971
Tiempo minimo: 0.217616, Tiempo promedio: 0.219700
Tiempo minimo: 0.217609, Tiempo promedio: 0.219594
Tiempo minimo: 0.218079, Tiempo promedio: 0.219321
Tiempo minimo: 0.218591, Tiempo promedio: 0.220967
Tiempo minimo: 0.217726, Tiempo promedio: 0.219836
Tiempo minimo: 0.217067, Tiempo promedio: 0.219393
Tiempo minimo: 0.217951, Tiempo promedio: 0.219777
Tiempo minimo: 0.218119, Tiempo promedio: 0.220285
Tiempo minimo: 0.218182, Tiempo promedio: 0.219838
Tiempo minimo: 0.217695, Tiempo promedio: 0.219487
Tiempo minimo: 0.217913, Tiempo promedio: 0.219952
Tiempo minimo: 0.218307, Tiempo promedio: 0.219906
Tiempo minimo: 0.217947, Tiempo promedio: 0.219588
Tiempo minimo: 0.218134, Tiempo promedio: 0.219738
Tiempo minimo: 0.218527, Tiempo promedio: 0.220514
Tiempo minimo: 0.218268, Tiempo promedio: 0.221001
Tiempo minimo: 0.218705, Tiempo promedio: 0.220739
Tiempo minimo: 0.218499, Tiempo promedio: 0.220623
Tiempo minimo: 0.218648, Tiempo promedio: 0.220016
Tiempo minimo: 0.218341, Tiempo promedio: 0.220146
Tiempo minimo: 0.218524, Tiempo promedio: 0.220160
Tiempo minimo: 0.219612, Tiempo promedio: 0.220905
Tiempo minimo: 0.217470, Tiempo promedio: 0.219611
Tiempo minimo: 0.219810, Tiempo promedio: 0.220952
Tiempo minimo: 0.218055, Tiempo promedio: 0.220287
Tiempo minimo: 0.218910, Tiempo promedio: 0.220599
Tiempo minimo: 0.220057, Tiempo promedio: 0.221586
Tiempo minimo: 0.218704, Tiempo promedio: 0.220125
Tiempo minimo: 0.218852, Tiempo promedio: 0.220825
Tiempo minimo: 0.219121, Tiempo promedio: 0.220275
Tiempo minimo: 0.218032, Tiempo promedio: 0.219526
Tiempo minimo: 0.217942, Tiempo promedio: 0.220049
Tiempo minimo: 0.218450, Tiempo promedio: 0.220100
Promedio de tiempos minimos: 0.217902
