100 instancias de tamaño n = 100 y k = 110 
Tiempo minimo: 0.613313, Tiempo promedio: 0.620519
Tiempo minimo: 0.614118, Tiempo promedio: 0.616296
Tiempo minimo: 0.611199, Tiempo promedio: 0.614616
Tiempo minimo: 0.612237, Tiempo promedio: 0.614890
Tiempo minimo: 0.612665, Tiempo promedio: 0.614603
Tiempo minimo: 0.611710, Tiempo promedio: 0.614330
Tiempo minimo: 0.612115, Tiempo promedio: 0.616063
Tiempo minimo: 0.614169, Tiempo promedio: 0.616948
Tiempo minimo: 0.613451, Tiempo promedio: 0.617040
Tiempo minimo: 0.611467, Tiempo promedio: 0.614789
Tiempo minimo: 0.613323, Tiempo promedio: 0.615409
Tiempo minimo: 0.612207, Tiempo promedio: 0.614588
Tiempo minimo: 0.613397, Tiempo promedio: 0.615510
Tiempo minimo: 0.612972, Tiempo promedio: 0.615594
Tiempo minimo: 0.610914, Tiempo promedio: 0.614078
Tiempo minimo: 0.611928, Tiempo promedio: 0.615189
Tiempo minimo: 0.612037, Tiempo promedio: 0.615242
Tiempo minimo: 0.612058, Tiempo promedio: 0.615946
Tiempo minimo: 0.611324, Tiempo promedio: 0.613969
Tiempo minimo: 0.612026, Tiempo promedio: 0.614205
Tiempo minimo: 0.610931, Tiempo promedio: 0.614248
Tiempo minimo: 0.610396, Tiempo promedio: 0.612948
Tiempo minimo: 0.611268, Tiempo promedio: 0.613343
Tiempo minimo: 0.613464, Tiempo promedio: 0.616123
Tiempo minimo: 0.611882, Tiempo promedio: 0.614909
Tiempo minimo: 0.611968, Tiempo promedio: 0.615173
Tiempo minimo: 0.611716, Tiempo promedio: 0.614516
Tiempo minimo: 0.613678, Tiempo promedio: 0.616089
Tiempo minimo: 0.612104, Tiempo promedio: 0.614591
Tiempo minimo: 0.611522, Tiempo promedio: 0.614833
Tiempo minimo: 0.613461, Tiempo promedio: 0.615903
Tiempo minimo: 0.611746, Tiempo promedio: 0.615562
Tiempo minimo: 0.613959, Tiempo promedio: 0.615444
Tiempo minimo: 0.610651, Tiempo promedio: 0.613716
Tiempo minimo: 0.611750, Tiempo promedio: 0.613721
Tiempo minimo: 0.612067, Tiempo promedio: 0.613942
Tiempo minimo: 0.610769, Tiempo promedio: 0.613754
Tiempo minimo: 0.610877, Tiempo promedio: 0.614229
Tiempo minimo: 0.610851, Tiempo promedio: 0.613696
Tiempo minimo: 0.610547, Tiempo promedio: 0.613714
Tiempo minimo: 0.612423, Tiempo promedio: 0.614533
Tiempo minimo: 0.613209, Tiempo promedio: 0.615208
Tiempo minimo: 0.611971, Tiempo promedio: 0.613580
