100 instancias de tamaño n = 700 y k = 10 
Tiempo minimo: 2.729359, Tiempo promedio: 2.737399
Tiempo minimo: 2.726989, Tiempo promedio: 2.736490
Tiempo minimo: 2.731759, Tiempo promedio: 2.741141
Tiempo minimo: 2.735168, Tiempo promedio: 2.744766
Tiempo minimo: 2.727408, Tiempo promedio: 2.737475
Tiempo minimo: 2.736534, Tiempo promedio: 2.746601
Tiempo minimo: 2.717487, Tiempo promedio: 2.725986
Tiempo minimo: 2.712987, Tiempo promedio: 2.721752
Tiempo minimo: 2.733276, Tiempo promedio: 2.744227
Tiempo minimo: 2.732066, Tiempo promedio: 2.742578
Tiempo minimo: 2.738742, Tiempo promedio: 2.750109
Tiempo minimo: 2.742480, Tiempo promedio: 2.755510
Tiempo minimo: 2.726004, Tiempo promedio: 2.736402
Tiempo minimo: 2.722416, Tiempo promedio: 2.732803
Tiempo minimo: 2.714389, Tiempo promedio: 2.730990
Tiempo minimo: 2.723314, Tiempo promedio: 2.732656
Tiempo minimo: 2.722593, Tiempo promedio: 2.731539
Tiempo minimo: 2.728563, Tiempo promedio: 2.736823
Tiempo minimo: 2.720713, Tiempo promedio: 2.730189
Tiempo minimo: 2.733001, Tiempo promedio: 2.740211
Tiempo minimo: 2.721065, Tiempo promedio: 2.730356
Tiempo minimo: 2.730107, Tiempo promedio: 2.736614
Tiempo minimo: 2.709307, Tiempo promedio: 2.719992
Tiempo minimo: 2.719182, Tiempo promedio: 2.728620
Tiempo minimo: 2.721072, Tiempo promedio: 2.729167
Tiempo minimo: 2.732175, Tiempo promedio: 2.742133
Tiempo minimo: 2.715758, Tiempo promedio: 2.729134
Tiempo minimo: 2.696506, Tiempo promedio: 2.707969
Tiempo minimo: 2.703140, Tiempo promedio: 2.716701
Tiempo minimo: 2.730924, Tiempo promedio: 2.738378
Tiempo minimo: 2.735520, Tiempo promedio: 2.748332
Tiempo minimo: 2.726796, Tiempo promedio: 2.735611
Tiempo minimo: 2.715358, Tiempo promedio: 2.726570
Tiempo minimo: 2.712238, Tiempo promedio: 2.720136
Tiempo minimo: 2.706547, Tiempo promedio: 2.717833
Tiempo minimo: 2.718626, Tiempo promedio: 2.729774
Tiempo minimo: 2.718138, Tiempo promedio: 2.726634
Tiempo minimo: 2.731738, Tiempo promedio: 2.747543
Tiempo minimo: 2.713486, Tiempo promedio: 2.727957
Tiempo minimo: 2.728427, Tiempo promedio: 2.742216
Tiempo minimo: 2.714763, Tiempo promedio: 2.727518
Tiempo minimo: 2.726676, Tiempo promedio: 2.734680
Tiempo minimo: 2.723875, Tiempo promedio: 2.731532
Tiempo minimo: 2.719953, Tiempo promedio: 2.726210
Tiempo minimo: 2.731787, Tiempo promedio: 2.740009
Tiempo minimo: 2.725528, Tiempo promedio: 2.737904
Tiempo minimo: 2.719252, Tiempo promedio: 2.730408
Tiempo minimo: 2.742935, Tiempo promedio: 2.749774
Tiempo minimo: 2.719996, Tiempo promedio: 2.733157
Tiempo minimo: 2.740498, Tiempo promedio: 2.746260
Tiempo minimo: 2.723766, Tiempo promedio: 2.738289
Tiempo minimo: 2.735054, Tiempo promedio: 2.741972
Tiempo minimo: 2.709696, Tiempo promedio: 2.723246
Tiempo minimo: 2.710413, Tiempo promedio: 2.723205
Tiempo minimo: 2.704589, Tiempo promedio: 2.714796
Tiempo minimo: 2.712664, Tiempo promedio: 2.725976
Tiempo minimo: 2.728987, Tiempo promedio: 2.736506
Tiempo minimo: 2.717378, Tiempo promedio: 2.726313
Tiempo minimo: 2.722346, Tiempo promedio: 2.735509
Tiempo minimo: 2.719810, Tiempo promedio: 2.731587
Tiempo minimo: 2.700243, Tiempo promedio: 2.710456
Tiempo minimo: 2.709159, Tiempo promedio: 2.720614
Tiempo minimo: 2.711342, Tiempo promedio: 2.723235
Tiempo minimo: 2.719898, Tiempo promedio: 2.728687
Tiempo minimo: 2.730325, Tiempo promedio: 2.740266
Tiempo minimo: 2.728808, Tiempo promedio: 2.739231
Tiempo minimo: 2.718721, Tiempo promedio: 2.730270
Tiempo minimo: 2.715159, Tiempo promedio: 2.724320
Tiempo minimo: 2.715124, Tiempo promedio: 2.728323
Tiempo minimo: 2.727885, Tiempo promedio: 2.737059
Tiempo minimo: 2.715004, Tiempo promedio: 2.725714
Tiempo minimo: 2.717024, Tiempo promedio: 2.735225
Tiempo minimo: 2.700090, Tiempo promedio: 2.711928
Tiempo minimo: 2.718240, Tiempo promedio: 2.730519
Tiempo minimo: 2.731054, Tiempo promedio: 2.740254
Tiempo minimo: 2.716074, Tiempo promedio: 2.729596
Tiempo minimo: 2.721126, Tiempo promedio: 2.732836
Tiempo minimo: 2.706188, Tiempo promedio: 2.717982
Tiempo minimo: 2.722610, Tiempo promedio: 2.731637
Tiempo minimo: 2.710525, Tiempo promedio: 2.719065
Tiempo minimo: 2.709486, Tiempo promedio: 2.716325
Tiempo minimo: 2.719797, Tiempo promedio: 2.729410
Tiempo minimo: 2.704943, Tiempo promedio: 2.718589
Tiempo minimo: 2.714443, Tiempo promedio: 2.730401
Tiempo minimo: 2.717190, Tiempo promedio: 2.729913
Tiempo minimo: 2.732532, Tiempo promedio: 2.738709
Tiempo minimo: 2.714805, Tiempo promedio: 2.722919
Tiempo minimo: 2.718163, Tiempo promedio: 2.727415
Tiempo minimo: 2.738136, Tiempo promedio: 2.749088
Tiempo minimo: 2.729522, Tiempo promedio: 2.736373
Tiempo minimo: 2.721857, Tiempo promedio: 2.730044
Tiempo minimo: 2.727349, Tiempo promedio: 2.739298
Tiempo minimo: 2.730610, Tiempo promedio: 2.735273
Tiempo minimo: 2.735027, Tiempo promedio: 2.744900
Tiempo minimo: 2.720023, Tiempo promedio: 2.729582
Tiempo minimo: 2.729872, Tiempo promedio: 2.743704
Tiempo minimo: 2.702640, Tiempo promedio: 2.713539
Tiempo minimo: 2.708820, Tiempo promedio: 2.716029
Tiempo minimo: 2.729636, Tiempo promedio: 2.740765
Tiempo minimo: 2.713860, Tiempo promedio: 2.725073
Promedio de tiempos minimos: 2.721446
